"","Provider_Number","FUH.30_.","FUH.30_Numerator","FUH.30_Denominator","FUH.7_.","FUH.7_Numerator","FUH.7_Denominator","HBIPS.2_Overall_Rate_Per_1000","HBIPS.2_Overall_Num","HBIPS.2_Overall_Den","HBIPS.3_Overall_Rate_Per_1000","HBIPS.3_Overall_Num","HBIPS.3_Overall_Den","HBIPS.5_Overall_._of_Total","HBIPS.5_Overall_Num","HBIPS.5_Overall_Den","SUB.1_.","SUB.1_Numerator","SUB.1_Denominator","SUB.2_.","SUB.2_Numerator","SUB.2_Denominator","SUB.2a_.","SUB.2a_Numerator","SUB.2a_Denominator","TOB.1_.","TOB.1_Numerator","TOB.1_Denominator","TOB.2_.","TOB.2_Numerator","TOB.2_Denominator","TOB.2a_.","TOB.2a_Numerator","TOB.2a_Denominator","TOB.3_.","TOB.3_Numerator","TOB.3_Denominator","TOB.3a_.","TOB.3a_Numerator","TOB.3a_Denominator","PEoC_Assessed_Response","EHR_Use_Response","HIE_Response","IMM.2_.","IMM.2_Numerator","IMM.2_Denominator","HCP_.","HCP_Numerator","HCP_Denominator"
"756",234023,"57.89","352","608","38.98","237","608","0.03","48.8","60628","0.09","126.8","60628","98.56%","137","139","99.37%","791","796","70.83%","51","72","69.44%","50","72","98.38%","789","802","95.04%","441","464","23.28%","108","464","57.60%","254","441","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","85.20%","616","723","79%","452","572"
"757",234025,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","5.29","6784.43","53470","0.00","0","53470","74.19%","23","31","100.00%","22","22","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","22","22","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","Not Available","Not Available","Not Available","33%","130","394"
"758",234026,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1.85","2236.18","50346","0.00","4.83","50346","Not Available","Not Available","Not Available","96.67%","58","60","0.00%","0","14","0.00%","0","14","96.72%","59","61","71.43%","20","28","Not Available","Not Available","Not Available","0.00%","0","28","0.00%","0","28","Yes","Paper or Other Form","No","76.67%","23","30","61%","314","515"
"759",234030,"69.11","264","382","40.84","156","382","0.08","62.66","32709","0.00","3.75","32709","50.70%","36","71","94.38%","420","445","80.80%","101","125","67.20%","84","125","100.00%","452","452","80.20%","162","202","23.27%","47","202","42.63%","81","190","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","99.22%","380","383","82%","371","455"
"760",234035,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","3.24","4430.08","56986","0.08","105.87","56986","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","96.55%","28","29","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00%","0","11","0.00%","0","11","Yes","Paper or Other Form","No","Not Available","Not Available","Not Available","42%","163","385"
"761",234038,"51.86","181","349","31.23","109","349","0.48","473.65","41279","0.17","166.58","41279","80.12%","133","166","93.05%","509","547","40.82%","20","49","38.78%","19","49","96.57%","591","612","68.44%","193","282","43.26%","122","282","19.13%","53","277","5.05%","14","277","Yes","Paper or Other Form","No","81.79%","310","379","53%","209","398"
"762",234040,"53.74","115","214","33.64","72","214","0.84","377.67","18811","0.36","15.82","1811","25.28%","67","265","92.90%","1373","1478","75.25%","152","202","75.25%","152","202","57.44%","849","1478","64.58%","237","367","58.58%","215","367","Not Available","Not Available","Not Available","0.00%","0","367","No","Paper or Other Form","No","30.21%","219","725","96%","109","114"
"763",234041,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.08","154.88","81970","0.01","25.58","81970","Not Available","Not Available","Not Available","84.75%","50","59","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","96.61%","57","59","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","Not Available","Not Available","Not Available","41%","235","580"
"764",234042,"64.25","239","372","46.51","173","372","0.26","92.72","14770","0.08","29.08","14770","8.00%","22","275","20.73%","280","1351","13.57%","38","280","10.71%","30","280","19.25%","260","1351","95.65%","132","138","57.25%","79","138","0.00%","0","138","0.00%","0","138","No","Paper or Other Form","No","62.04%","425","685","90%","150","167"
"765",240001,"62.86","66","105","31.43","33","105","1.08","224","8638","1.11","231","8638","60.00%","15","25","99.34%","453","456","72.55%","74","102","58.82%","60","102","98.65%","512","519","74.22%","213","287","35.89%","103","287","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","93.73%","284","303","59%","29","49"
"766",240004,"60.83","278","457","28.01","128","457","4.08","3308.81","33813","3.50","2840.16","33813","75.36%","52","69","95.62%","2138","2236","19.05%","44","231","15.58%","36","231","89.19%","2277","2553","53.34%","703","1318","42.72%","563","1318","0.00%","0","1318","0.00%","0","1318","Yes","Certified EHR Technology","No","87.33%","262","300","90%","1715","1906"
"767",240010,"75.76","175","231","47.62","110","231","0.23","132.75","24416","0.91","531.55","24416","Not Available","Not Available","Not Available","99.70%","332","333","89.74%","70","78","88.46%","69","78","100.00%","371","371","93.88%","138","147","29.93%","44","147","54.48%","73","134","Not Available","Not Available","Not Available","No","Certified EHR Technology","Yes","99.68%","312","313","82%","291","354"
"768",240020,"67.65","46","68","39.71","27","68","0.18","18.99","4498","0.00","0","4498","84.85%","28","33","100.00%","380","380","73.63%","67","91","73.63%","67","91","99.78%","455","456","93.61%","249","266","79.70%","212","266","39.82%","88","221","10.41%","23","221","Yes","Certified EHR Technology","No","99.59%","245","246","48%","20","42"
"769",240038,"60.00","18","30","40.00","12","30","6.64","662.02","4155","0.00","0","4155","100.00%","13","13","74.80%","95","127","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","97.69%","127","130","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00%","0","11","0.00%","0","11","Yes","Certified EHR Technology","No","96.26%","103","107","71%","27","38"
"770",240043,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.05","4","3184","0.27","20.67","3184","Not Available","Not Available","Not Available","97.36%","258","265","100.00%","18","18","100.00%","18","18","99.33%","295","297","74.81%","98","131","36.64%","48","131","61.26%","68","111","17.12%","19","111","No","Certified EHR Technology","Yes","98.60%","211","214","90%","28","31"
"771",240044,"48.72","19","39","28.21","11","39","0.27","13.92","2152","0.00","0","2152","Not Available","Not Available","Not Available","99.43%","173","174","0.00%","0","13","0.00%","0","13","99.10%","220","222","85.44%","88","103","27.18%","28","103","Not Available","Not Available","Not Available","0.00%","0","31","Yes","Certified EHR Technology","Yes","82.39%","117","142","78%","21","27"
"772",240052,"88.64","39","44","43.18","19","44","0.00","0","2412","0.00","0","2412","Not Available","Not Available","Not Available","99.53%","212","213","73.53%","25","34","73.53%","25","34","100.00%","229","229","82.61%","57","69","15.94%","11","69","44.07%","26","59","Not Available","Not Available","Not Available","Yes","Paper or Other Form","Yes","97.95%","143","146","78%","206","265"
"773",240056,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","6343","0.00","0","6343","Not Available","Not Available","Not Available","100.00%","238","238","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","238","238","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","100.00%","110","110","79%","33","42"
"774",240059,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","3830","0.00","0","3830","Not Available","Not Available","Not Available","79.66%","47","59","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","72","72","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","94.23%","147","156","Not Available","Not Available","Not Available"
"775",240063,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"776",240069,"75.00","27","36","38.89","14","36","0.28","20.23","3032","0.00","0","3032","Not Available","Not Available","Not Available","99.54%","215","216","58.33%","35","60","56.67%","34","60","100.00%","265","265","80.56%","116","144","70.83%","102","144","56.82%","75","132","20.45%","27","132","Yes","Certified EHR Technology","No","100.00%","177","177","89%","24","27"
"777",240075,"75.76","25","33","48.48","16","33","0.00",".4","3356","0.00",".4","3356","92.86%","13","14","87.13%","237","272","64.18%","43","67","62.69%","42","67","100.00%","336","336","65.57%","120","183","0.00%","0","183","15.29%","26","170","0.00%","0","170","Yes","Certified EHR Technology","Yes","99.05%","208","210","71%","32","45"
"778",240078,"69.07","67","97","31.96","31","97","1.26","185","6128","0.22","32","6128","90.00%","36","40","95.24%","360","378","42.50%","34","80","41.25%","33","80","99.58%","472","474","28.72%","54","188","26.60%","50","188","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","99.36%","311","313","83%","134","162"
"779",240080,"63.38","289","456","33.11","151","456","0.32","418.9","55079","1.33","1763.1","55079","74.00%","37","50","89.48%","451","504","31.45%","39","124","30.65%","38","124","97.60%","569","583","32.59%","88","270","25.93%","70","270","0.00%","0","262","0.00%","0","262","Yes","Certified EHR Technology","No","97.98%","582","594","82%","689","845"
"780",240100,"73.33","11","15","Not Available","Not Available","Not Available","0.07","4.42","2800","0.29","19.37","2800","Not Available","Not Available","Not Available","100.00%","23","23","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","28","28","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Certified EHR Technology","No","58.73%","37","63","97%","94","97"
"781",240115,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"782",241329,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","3185","0.07","5.2","3185","Not Available","Not Available","Not Available","84.51%","60","71","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","87.32%","62","71","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","69.15%","65","94","73%","35","48"
"783",241356,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.01",".45","3311","0.00","0","3311","Not Available","0","0","100.00%","167","167","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","167","167","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","69.35%","43","62","93%","232","250"
"784",241359,"68.42","26","38","36.84","14","38","0.16","9","2362","0.09","5","2362","100.00%","19","19","100.00%","230","230","86.84%","33","38","63.16%","24","38","100.00%","305","305","99.31%","143","144","25.69%","37","144","96.69%","117","121","13.22%","16","121","Yes","Certified EHR Technology","No","100.00%","207","207","100%","26","26"
"785",241366,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.01",".8","2367","0.00","0","2367","Not Available","Not Available","Not Available","100.00%","118","118","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","118","118","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","85.33%","64","75","98%","289","296"
"786",241378,"66.67","34","51","41.18","21","51","1.45","110.55","3176","0.00","0","3176","88.24%","15","17","88.89%","224","252","40.63%","26","64","37.50%","24","64","96.70%","322","333","50.00%","86","172","44.77%","77","172","Not Available","Not Available","Not Available","0.00%","0","162","Yes","Certified EHR Technology","No","98.08%","256","261","75%","21","28"
"787",244002,"28.85","15","52","Not Available","Not Available","Not Available","0.40","333.33","35015","0.08","63.17","35015","64.71%","33","51","80.67%","121","150","0.00%","0","74","0.00%","0","74","97.33%","146","150","16.18%","11","68","Not Available","Not Available","Not Available","0.00%","0","46","0.00%","0","46","Yes","Paper or Other Form","No","82.14%","92","112","39%","207","537"
"788",244005,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.41","12.78","1301","0.38","11.93","1301","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","Not Available","Not Available","Not Available","78%","46","59"
"789",244011,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00",".05","3247","0.00","0","3247","Not Available","Not Available","Not Available","90.20%","46","51","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","94.12%","48","51","78.95%","15","19","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","71.43%","15","21","31%","39","124"
"790",244012,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.05","3.55","3176","0.01","1.08","3176","Not Available","Not Available","Not Available","100.00%","57","57","33.33%","12","36","33.33%","12","36","98.21%","55","56","87.80%","36","41","60.98%","25","41","56.52%","13","23","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","86.11%","31","36","51%","45","88"
"791",244013,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00",".12","2972","0.00","0","2972","90.00%","18","20","97.14%","68","70","64.29%","27","42","64.29%","27","42","100.00%","70","70","95.74%","45","47","78.72%","37","47","Not Available","Not Available","Not Available","0.00%","0","32","Yes","Paper or Other Form","No","77.50%","31","40","56%","44","79"
"792",244014,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.06","4.55","3217","0.00",".08","3217","Not Available","Not Available","Not Available","91.36%","74","81","38.10%","16","42","38.10%","16","42","100.00%","82","82","94.64%","53","56","73.21%","41","56","36.11%","13","36","0.00%","0","36","Yes","Paper or Other Form","No","95.45%","42","44","52%","42","81"
"793",244015,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","3354","0.00","0","3354","Not Available","Not Available","Not Available","85.07%","57","67","0.00%","0","38","0.00%","0","38","94.03%","63","67","56.41%","22","39","Not Available","Not Available","Not Available","0.00%","0","34","0.00%","0","34","Yes","Paper or Other Form","No","Not Available","Not Available","Not Available","55%","49","89"
"794",244017,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.07","4.82","3029","0.00","0","3029","Not Available","Not Available","Not Available","100.00%","47","47","0.00%","0","22","0.00%","0","22","95.74%","45","47","0.00%","0","13","0.00%","0","13","0.00%","0","12","0.00%","0","12","Yes","Paper or Other Form","No","45.83%","11","24","58%","38","65"
"795",244018,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","2438","0.22","13","2438","Not Available","Not Available","Not Available","93.24%","138","148","0.00%","0","54","0.00%","0","54","93.92%","139","148","70.24%","59","84","59.52%","50","84","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","25.00%","66","264","95%","96","101"
"796",250004,"31.18","58","186","09.14","17","186","0.00","1.1","12048","0.00","0","12048","Not Available","Not Available","Not Available","99.81%","516","517","100.00%","145","145","51.72%","75","145","100.00%","590","590","99.21%","375","378","53.44%","202","378","97.63%","329","337","5.34%","18","337","Yes","Certified EHR Technology","Yes","100.00%","324","324","96%","7146","7482"
"797",250007,"45.71","16","35","31.43","11","35","0.00","0","2157","0.00","0","2157","Not Available","Not Available","Not Available","99.28%","138","139","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","147","147","87.88%","29","33","Not Available","Not Available","Not Available","91.30%","21","23","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","91.30%","63","69","58%","11","19"
"798",250009,"23.20","29","125","Not Available","Not Available","Not Available","0.02","1.57","2995","0.00","0","2995","76.19%","16","21","99.49%","588","591","95.00%","95","100","91.00%","91","100","99.29%","695","700","95.14%","529","556","83.99%","467","556","79.32%","395","498","42.77%","213","498","No","Paper or Other Form","Yes","95.77%","362","378","100%","26","26"
"799",250012,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","1366","0.00","0","1366","Not Available","Not Available","Not Available","80.00%","88","110","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","86.36%","95","110","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","25.00%","11","44","100%","19","19"
"800",250017,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","3447","0.00","0","3447","Not Available","Not Available","Not Available","100.00%","255","255","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","255","255","100.00%","14","14","100.00%","14","14","0.00%","0","14","0.00%","0","14","No","Paper or Other Form","No","86.15%","112","130","94%","15","16"
"801",250027,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","1","Not Available","0","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","66.88%","103","154","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","57.58%","38","66","100%","28","28"
"802",250031,"39.39","13","33","Not Available","Not Available","Not Available","0.00","0","1466","0.00","0","1466","Not Available","0","0","99.18%","121","122","75.00%","15","20","Not Available","Not Available","Not Available","100.00%","126","126","98.18%","54","55","23.64%","13","55","95.00%","38","40","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","98.08%","51","52","75%","24","32"
"803",250040,"50.00","15","30","Not Available","Not Available","Not Available","0.08","11.58","5868","0.01","2.05","5868","Not Available","Not Available","Not Available","100.00%","365","365","100.00%","17","17","76.47%","13","17","99.79%","482","483","96.44%","244","253","68.38%","173","253","80.86%","169","209","70.81%","148","209","No","Certified EHR Technology","Yes","98.49%","326","331","70%","30","43"
"804",250043,"50.00","11","22","Not Available","Not Available","Not Available","1.80","97.08","2245","0.00","0","2245","Not Available","Not Available","Not Available","100.00%","110","110","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","112","112","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Certified EHR Technology","No","63.64%","42","66","34%","32","94"
"805",250044,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","79","0.00","0","79","Not Available","Not Available","Not Available","100.00%","211","211","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","213","213","90.24%","37","41","56.10%","23","41","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Certified EHR Technology","Yes","93.28%","111","119","75%","54","72"
"806",250048,"38.89","14","36","Not Available","Not Available","Not Available","0.00","0","5095","0.00","0","5095","Not Available","Not Available","Not Available","97.78%","397","406","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.53%","423","425","94.74%","36","38","86.84%","33","38","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","78.22%","176","225","100%","53","53"
"807",250049,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","0","Not Available","0","0","Not Available","Not Available","Not Available","82.20%","97","118","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","85.59%","101","118","Not Available","Not Available","Not Available","0.00%","0","14","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","0.00%","0","151","21%","13","63"
"808",250060,"59.41","120","202","24.75","50","202","0.00","0","5728","0.00","0","4997","0.00%","0","210","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00%","0","392","0.00%","0","286","0.00%","0","286","0.00%","0","286","0.00%","0","286","No","Paper or Other Form","No","0.00%","0","189","Not Available","Not Available","Not Available"
"809",250072,"48.59","86","177","16.38","29","177","0.00","0","15320","0.01","3.75","15320","Not Available","Not Available","Not Available","99.66%","588","590","78.26%","72","92","78.26%","72","92","100.00%","632","632","95.85%","393","410","23.66%","97","410","70.45%","248","352","Not Available","Not Available","Not Available","No","Paper or Other Form","No","99.40%","329","331","42%","31","74"
"810",250079,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","0","Not Available","0","0","100.00%","74","74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"811",250081,"35.48","11","31","Not Available","Not Available","Not Available","0.00","0","2664","0.00","0","2664","Not Available","0","0","95.71%","223","233","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","95.71%","223","233","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","100.00%","110","110","68%","23","34"
"812",250082,"61.90","13","21","Not Available","Not Available","Not Available","0.00","0","1206","0.00","0","1206","Not Available","Not Available","Not Available","100.00%","43","43","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","45","45","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Certified EHR Technology","No","100.00%","17","17","88%","15","17"
"813",250084,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","1666","0.00","0","1666","Not Available","Not Available","Not Available","100.00%","155","155","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","147","147","94.87%","37","39","74.36%","29","39","72.00%","18","25","Not Available","Not Available","Not Available","No","Paper or Other Form","No","100.00%","90","90","81%","21","26"
"814",250093,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","2744","0.00","0","2744","83.87%","26","31","100.00%","200","200","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","203","203","100.00%","38","38","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Certified EHR Technology","Yes","98.20%","109","111","Not Available","Not Available","Not Available"
"815",250094,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.13","6.85","2121","0.00","0","2121","Not Available","Not Available","Not Available","100.00%","158","158","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","165","165","100.00%","30","30","Not Available","Not Available","Not Available","100.00%","22","22","Not Available","Not Available","Not Available","No","Paper or Other Form","No","96.40%","107","111","79%","130","164"
"816",250096,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","4620","0.00","0","4620","Not Available","Not Available","Not Available","99.72%","360","361","100.00%","13","13","92.31%","12","13","100.00%","361","361","89.47%","51","57","Not Available","Not Available","Not Available","83.33%","20","24","Not Available","Not Available","Not Available","No","Paper or Other Form","No","98.92%","184","186","30%","14","46"
"817",250099,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","1676","0.00","0","1676","Not Available","Not Available","Not Available","93.89%","123","131","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","132","132","65.00%","13","20","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Certified EHR Technology","Yes","100.00%","52","52","75%","12","16"
"818",250100,"35.54","59","166","17.47","29","166","0.00","0","9550","0.13","29.58","9550","Not Available","Not Available","Not Available","100.00%","438","438","95.10%","136","143","93.01%","133","143","100.00%","552","552","89.24%","315","353","64.59%","228","353","90.64%","271","299","53.85%","161","299","Yes","Certified EHR Technology","Yes","100.00%","326","326","98%","859","873"
"819",250102,"33.33","20","60","28.33","17","60","0.00","0","3476","0.00","0","3476","Not Available","Not Available","Not Available","94.00%","188","200","Not Available","Not Available","Not Available","0.00%","0","11","95.95%","213","222","0.00%","0","19","0.00%","0","19","0.00%","0","15","0.00%","0","15","Yes","Paper or Other Form","Yes","92.91%","118","127","100%","27","27"
"820",250117,"58.54","24","41","43.90","18","41","0.00","0","988","0.00","0","988","100.00%","24","24","100.00%","129","129","100.00%","12","12","100.00%","12","12","97.67%","126","129","100.00%","24","24","100.00%","24","24","100.00%","24","24","100.00%","24","24","No","Paper or Other Form","Yes","100.00%","67","67","79%","15","19"
"821",250123,"37.84","14","37","Not Available","Not Available","Not Available","0.00","0","5767","0.00","0","5767","Not Available","0","0","99.77%","432","433","97.33%","73","75","86.67%","65","75","100.00%","459","459","97.71%","171","175","30.86%","54","175","57.24%","83","145","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","100.00%","246","246","85%","62","73"
"822",250126,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","1596","0.00","0","1596","Not Available","0","0","100.00%","117","117","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","117","117","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","100.00%","57","57","100%","14","14"
"823",250128,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","1858","0.00","0","1858","Not Available","0","0","98.73%","156","158","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.38%","160","161","91.11%","41","45","Not Available","Not Available","Not Available","78.13%","25","32","0.00%","0","32","Yes","Paper or Other Form","No","98.67%","74","75","Not Available","Not Available","Not Available"
"824",250151,"44.55","135","303","20.79","63","303","0.01","7.22","25687","0.18","112.7","25687","55.00%","11","20","99.10%","439","443","60.14%","83","138","59.42%","82","138","98.04%","450","459","91.61%","284","310","Not Available","Not Available","Not Available","87.23%","239","274","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","82.51%","302","366","90%","220","244"
"825",250163,"76.19","32","42","54.76","23","42","0.00","0","2034","0.00","0","2034","100.00%","138","138","0.00%","0","155","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","155","155","0.00%","0","89","0.00%","0","89","0.00%","0","89","0.00%","0","89","No","Paper or Other Form","No","0.00%","0","80","Not Available","Not Available","Not Available"
"826",250168,"57.89","11","19","Not Available","Not Available","Not Available","0.00","0","1845","0.00","0","1875","Not Available","Not Available","Not Available","97.01%","130","134","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","89.19%","132","148","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00%","0","132","0.00%","0","132","Yes","Certified EHR Technology","Yes","Not Available","Not Available","Not Available","100%","13","13"
"827",251300,"50.00","21","42","28.57","12","42","0.00","0","2031","0.00","0","2031","Not Available","0","0","100.00%","210","210","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","210","210","100.00%","26","26","100.00%","26","26","0.00%","0","56","0.00%","0","56","Yes","Certified EHR Technology","Yes","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
