"Hospital.Name","Provider.ID","ED_1b","ED_2b","EDV","IMM_2","IMM_3_OP_27_FAC_ADHPCT","OP_1","OP_18b","OP_2","OP_20","OP_21","OP_22","OP_23","OP_29","OP_30","OP_31","OP_33","OP_3b","OP_4","OP_5","PC_01","VTE_6"
"MOREHEAD MEMORIAL HOSPITAL",340060,"302","136","Medium (20,000 - 39,999 patients annually)","98","99","Not Available","134","Not Available","23","70","1","83","93","87","Not Available","Not Available","Not Available","95","7","3","Not Available"
"MOREHOUSE GENERAL HOSPITAL",190116,"236","68","Low (0 - 19,999 patients annually)","89","35","Not Available","113","Not Available","24","48","2","Not Available","100","100","Not Available","Not Available","Not Available","96","18","0","Not Available"
"MORGAN COUNTY ARH HOSPITAL",181307,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MORGAN MEMORIAL HOSPITAL",111304,"166","45","Low (0 - 19,999 patients annually)","89","33","Not Available","73","Not Available","16","46","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","1","Not Available","Not Available"
"MORRILL COUNTY COMMUNITY HOSPITAL",281318,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","108","Not Available","24","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MORRIS COUNTY HOSPITAL",171379,"100","0","Not Available","83","84","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MORRIS HOSPITAL & HEALTHCARE CENTERS",140101,"217","69","Medium (20,000 - 39,999 patients annually)","99","91","Not Available","114","Not Available","18","39","1","Not Available","81","90","Not Available","Not Available","Not Available","Not Available","Not Available","2","Not Available"
"MORRISON COMMUNITY HOSPITAL",141329,"Not Available","Not Available","Low (0 - 19,999 patients annually)","Not Available","Not Available","Not Available","185","Not Available","3","Not Available","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION",440030,"290","101","Low (0 - 19,999 patients annually)","100","95","Not Available","163","Not Available","38","60","3","81","47","78","Not Available","96","Not Available","89","9","3","Not Available"
"MORRISTOWN MEDICAL CENTER",310015,"402","174","Very High (60,000+ patients annually)","92","91","Not Available","162","Not Available","10","46","0","Not Available","84","65","Not Available","73","Not Available","Not Available","Not Available","1","2"
"MORROW COUNTY HOSPITAL",361313,"220","42","Not Available","86","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","92","8","Not Available","Not Available"
"MORTON COUNTY HOSPITAL",170166,"90","15","Low (0 - 19,999 patients annually)","92","98","Not Available","86","Not Available","24","Not Available","24","Not Available","53","53","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MORTON GENERAL HOSPITAL",501319,"231","41","Low (0 - 19,999 patients annually)","81","76","Not Available","116","Not Available","55","60","3","77","Not Available","Not Available","Not Available","Not Available","Not Available","95","9","Not Available","Not Available"
"MORTON HOSPITAL",220073,"385","152","High (40,000 - 59,999 patients annually)","94","92","Not Available","138","Not Available","40","43","1","81","100","100","Not Available","Not Available","Not Available","98","7","0","Not Available"
"MORTON PLANT HOSPITAL",100127,"295","103","Very High (60,000+ patients annually)","100","87","Not Available","151","Not Available","25","50","1","Not Available","37","78","Not Available","Not Available","Not Available","100","10","0","0"
"MORTON PLANT NORTH BAY HOSPITAL",100063,"322","131","Medium (20,000 - 39,999 patients annually)","98","83","Not Available","162","Not Available","55","68","5","Not Available","13","57","Not Available","Not Available","Not Available","80","9","Not Available","Not Available"
"MOSAIC LIFE CARE AT ST JOSEPH",260006,"228","79","Very High (60,000+ patients annually)","99","98","Not Available","140","Not Available","15","46","0","92","99","99","Not Available","100","Not Available","Not Available","Not Available","0","0"
"MOSES TAYLOR HOSPITAL",390119,"272","100","Medium (20,000 - 39,999 patients annually)","100","58","Not Available","136","Not Available","31","49","1","Not Available","88","100","Not Available","Not Available","Not Available","89","7","0","Not Available"
"MOSES-LUDINGTON HOSPITAL",331306,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MOTION PICTURE & TELEVISION HOSPITAL",50552,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MOUNDVIEW MEMORIAL HOSPITAL AND CLINICS",521309,"210","40","Low (0 - 19,999 patients annually)","97","89","Not Available","92","Not Available","16","45","2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98","9","Not Available","Not Available"
"MOUNT AUBURN HOSPITAL",220002,"299","113","Medium (20,000 - 39,999 patients annually)","99","98","Not Available","194","Not Available","45","48","1","74","100","100","Not Available","79","Not Available","Not Available","Not Available","0","0"
"MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL",360266,"Not Available","Not Available","Not Available","97","97","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0"
"MOUNT CARMEL ST ANN'S",360012,"276","86","Very High (60,000+ patients annually)","96","99","Not Available","169","Not Available","16","59","1","Not Available","72","72","Not Available","100","Not Available","88","6","0","0"
"MOUNT CARMEL WEST",360035,"300","117","Very High (60,000+ patients annually)","93","98","Not Available","144","Not Available","29","72","1","73","75","54","Not Available","95","Not Available","100","7","2","0"
"MOUNT DESERT ISLAND HOSPITAL",201304,"256","104","Low (0 - 19,999 patients annually)","95","94","Not Available","138","Not Available","5","19","0","Not Available","100","100","Not Available","Not Available","Not Available","93","7","Not Available","Not Available"
"MOUNT GRANT GENERAL HOSPITAL",291300,"138","0","Low (0 - 19,999 patients annually)","85","99","Not Available","122","Not Available","0","46","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","24","Not Available","Not Available"
"MOUNT NITTANY MEDICAL CENTER",390268,"280","115","High (40,000 - 59,999 patients annually)","93","92","Not Available","158","Not Available","17","45","0","77","97","99","Not Available","86","Not Available","89","11","4","Not Available"
"MOUNT PLEASANT HOSPITAL",420104,"185","41","Very High (60,000+ patients annually)","92","91","Not Available","96","Not Available","5","26","0","Not Available","94","95","Not Available","Not Available","Not Available","99","5","0","Not Available"
"MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS",330169,"430","195","Very High (60,000+ patients annually)","96","94","Not Available","198","Not Available","20","51","1","50","80","76","Not Available","69","Not Available","Not Available","Not Available","0","2"
"MOUNT SINAI HOSPITAL",330024,"590","362","Very High (60,000+ patients annually)","98","91","Not Available","189","Not Available","24","64","1","75","69","87","Not Available","95","84","97","6","3","2"
"MOUNT SINAI MEDICAL CENTER",100034,"311","102","Very High (60,000+ patients annually)","100","48","Not Available","164","Not Available","20","58","1","Not Available","76","76","Not Available","22","Not Available","Not Available","Not Available","2","0"
"MOUNT SINAI WEST",330046,"584","269","Very High (60,000+ patients annually)","96","95","Not Available","161","Not Available","28","53","1","33","94","74","Not Available","96","Not Available","Not Available","Not Available","0","7"
"MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER",330188,"274","61","Medium (20,000 - 39,999 patients annually)","95","88","Not Available","160","Not Available","37","62","2","Not Available","99","97","Not Available","Not Available","Not Available","98","8","0","Not Available"
"MOUNT WASHINGTON PEDIATRIC HOSPITAL",213300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MOUNTAIN LAKES MEDICAL CENTER",111336,"216","63","Not Available","99","84","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MOUNTAIN VIEW HOSPITAL",130065,"Not Available","Not Available","Not Available","100","87","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"MOUNTAIN VIEW HOSPITAL",460013,"182","56","Low (0 - 19,999 patients annually)","100","88","Not Available","119","Not Available","6","27","0","Not Available","98","91","Not Available","Not Available","Not Available","94","12","1","Not Available"
"MOUNTAIN VIEW REGIONAL HOSPITAL",530033,"182","36","Low (0 - 19,999 patients annually)","100","77","Not Available","113","Not Available","25","Not Available","0","Not Available","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MOUNTAIN VIEW REGIONAL MEDICAL CENTER",320085,"278","135","Medium (20,000 - 39,999 patients annually)","98","76","Not Available","160","Not Available","13","39","4","Not Available","100","98","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"MOUNTAIN VISTA MEDICAL CENTER, LP",30121,"328","147","Medium (20,000 - 39,999 patients annually)","97","76","Not Available","208","Not Available","38","80","2","89","90","74","Not Available","Not Available","Not Available","91","10","6","6"
"MOUNTAIN WEST MEDICAL CENTER",460014,"214","67","Low (0 - 19,999 patients annually)","99","79","Not Available","130","Not Available","14","38","2","80","96","100","Not Available","Not Available","Not Available","94","13","0","Not Available"
"MOUNTAIN'S EDGE HOSPITAL",290056,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MOUNTAINS COMMUNITY HOSPITAL",51312,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MOUNTAINVIEW HOSPITAL",290039,"343","148","Very High (60,000+ patients annually)","100","78","Not Available","168","Not Available","6","22","1","67","41","88","Not Available","Not Available","Not Available","100","7","0","0"
"MOUNTAINVIEW MEDICAL CENTER",271306,"Not Available","Not Available","Not Available","53","84","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MOUNTRAIL COUNTY MEDICAL CENTER",351301,"Not Available","Not Available","Low (0 - 19,999 patients annually)","Not Available","59","Not Available","90","Not Available","20","Not Available","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","91","6","Not Available","Not Available"
"MT ASCUTNEY HOSPITAL",471302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MT EDGECUMBE HOSPITAL",21314,"203","60","Not Available","58","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MT SAN RAFAEL HOSPITAL",61321,"235","79","Not Available","Not Available","98","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MT SINAI HOSPITAL MEDICAL CENTER",140018,"455","219","High (40,000 - 59,999 patients annually)","74","89","Not Available","276","Not Available","78","75","6","85","90","81","Not Available","Not Available","Not Available","57","10","0","21"
"MT. GRAHAM REGIONAL MEDICAL CENTER",30068,"222","62","Medium (20,000 - 39,999 patients annually)","42","60","Not Available","117","Not Available","5","33","0","Not Available","69","71","Not Available","Not Available","Not Available","90","12","2","Not Available"
"MUENSTER MEMORIAL HOSPITAL",451335,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MULESHOE AREA MEDICAL CENTER",451372,"146","0","Not Available","63","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MULTICARE AUBURN MEDICAL CENTER",500015,"393","190","Low (0 - 19,999 patients annually)","99","97","Not Available","179","Not Available","30","58","3","Not Available","Not Available","100","Not Available","Not Available","Not Available","88","11","1","Not Available"
"MULTICARE DEACONESS HOSPITAL",500044,"330","125","High (40,000 - 59,999 patients annually)","99","81","Not Available","174","Not Available","37","60","4","Not Available","100","100","Not Available","Not Available","Not Available","Not Available","12","9","4"
"MULTICARE GOOD SAMARITAN HOSPITAL",500079,"359","171","Medium (20,000 - 39,999 patients annually)","98","97","Not Available","192","Not Available","42","61","2","79","Not Available","100","Not Available","Not Available","Not Available","100","6","0","Not Available"
"MULTICARE VALLEY HOSPITAL",500119,"265","97","High (40,000 - 59,999 patients annually)","100","65","Not Available","125","Not Available","25","43","1","64","100","100","Not Available","Not Available","40","97","7","0","0"
"MUNCY VALLEY HOSPITAL",391301,"210","37","Low (0 - 19,999 patients annually)","98","89","Not Available","100","Not Available","22","53","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99","5","Not Available","Not Available"
"MUNICIPAL HOSPITAL AND GRANITE MANOR",241343,"120","10","Low (0 - 19,999 patients annually)","67","99","Not Available","94","Not Available","16","37","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","79","10","Not Available","Not Available"
"MUNISING MEMORIAL HOSPITAL",231308,"Not Available","Not Available","Low (0 - 19,999 patients annually)","Not Available","65","Not Available","90","Not Available","16","45","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","97","6","Not Available","Not Available"
"MUNROE REGIONAL MEDICAL CENTER",100062,"353","153","Very High (60,000+ patients annually)","96","26","Not Available","122","Not Available","25","51","3","92","70","89","Not Available","Not Available","Not Available","Not Available","Not Available","6","0"
"MUNSON HEALTHCARE CADILLAC HOSPITAL",230081,"238","68","Medium (20,000 - 39,999 patients annually)","98","94","22","125","71","16","36","2","68","98","98","Not Available","Not Available","Not Available","96","7","0","Not Available"
"MUNSON HEALTHCARE CHARLEVOIX HOSPITAL",231322,"Not Available","Not Available","Low (0 - 19,999 patients annually)","Not Available","98","Not Available","149","Not Available","20","Not Available","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","4","Not Available","Not Available"
"MUNSON HEALTHCARE GRAYLING HOSPITAL",230058,"318","129","Medium (20,000 - 39,999 patients annually)","98","100","15","158","100","22","49","1","75","100","100","Not Available","Not Available","Not Available","100","7","8","Not Available"
"MUNSON HEALTHCARE MANISTEE HOSPITAL",230303,"195","58","Low (0 - 19,999 patients annually)","95","96","Not Available","100","Not Available","11","41","0","46","97","94","Not Available","Not Available","Not Available","100","2","0","Not Available"
"MUNSON MEDICAL CENTER",230097,"288","144","High (40,000 - 59,999 patients annually)","99","99","Not Available","187","Not Available","12","52","1","83","87","93","Not Available","88","Not Available","Not Available","Not Available","0","Not Available"
"MURPHY MEDICAL CENTER INC",341328,"270","75","Low (0 - 19,999 patients annually)","89","Not Available","Not Available","144","Not Available","35","53","3","91","100","96","Not Available","Not Available","Not Available","97","10","Not Available","Not Available"
"MURRAY COUNTY MEMORIAL HOSPITAL",241319,"149","15","Low (0 - 19,999 patients annually)","85","86","Not Available","118","Not Available","7","Not Available","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","7","Not Available","Not Available"
"MURRAY MEDICAL CENTER",110050,"266","68","Low (0 - 19,999 patients annually)","93","97","Not Available","106","Not Available","26","61","2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","94","9","Not Available","Not Available"
"MURRAY-CALLOWAY COUNTY HOSPITAL",180027,"247","86","Medium (20,000 - 39,999 patients annually)","83","93","Not Available","146","Not Available","20","56","1","24","10","90","Not Available","Not Available","42","96","13","0","33"
"MUSC MEDICAL CENTER",420004,"290","99","Very High (60,000+ patients annually)","90","97","Not Available","162","Not Available","24","47","2","Not Available","98","98","Not Available","95","Not Available","Not Available","Not Available","2","0"
"MUSCOGEE (CREEK) NATION MEDICAL CENTER",370057,"216","52","Low (0 - 19,999 patients annually)","95","59","Not Available","131","Not Available","63","72","6","64","Not Available","Not Available","Not Available","Not Available","Not Available","86","9","Not Available","Not Available"
"MYRTUE MEDICAL CENTER",161374,"Not Available","Not Available","Low (0 - 19,999 patients annually)","100","98","Not Available","99","Not Available","25","12","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","1","Not Available","Not Available"
"N Y EYE AND EAR INFIRMARY",330100,"Not Available","Not Available","Not Available","93","92","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NACOGDOCHES MEDICAL CENTER",450656,"206","68","Low (0 - 19,999 patients annually)","98","99","Not Available","95","Not Available","22","42","0","Not Available","7","58","Not Available","94","Not Available","Not Available","Not Available","0","Not Available"
"NANTICOKE MEMORIAL HOSPITAL",80006,"301","102","Medium (20,000 - 39,999 patients annually)","87","98","Not Available","162","Not Available","37","55","3","65","75","92","Not Available","Not Available","Not Available","94","11","3","Not Available"
"NANTUCKET COTTAGE HOSPITAL",220177,"294","95","Low (0 - 19,999 patients annually)","73","96","Not Available","135","Not Available","14","39","1","Not Available","93","100","Not Available","Not Available","Not Available","100","6","0","Not Available"
"NAPLES COMMUNITY HOSPITAL",100018,"283","135","Very High (60,000+ patients annually)","98","86","Not Available","136","Not Available","29","50","1","33","96","86","Not Available","Not Available","Not Available","Not Available","Not Available","3","3"
"NASH GENERAL HOSPITAL",340147,"451","225","Very High (60,000+ patients annually)","93","99","32","178","42","63","63","3","81","94","33","Not Available","Not Available","Not Available","97","14","0","6"
"NASHOBA VALLEY MEDICAL CENTER",220098,"234","99","Low (0 - 19,999 patients annually)","97","92","Not Available","94","Not Available","28","41","0","Not Available","94","85","Not Available","Not Available","Not Available","96","2","Not Available","Not Available"
"NASON HOSPITAL",390062,"223","50","Low (0 - 19,999 patients annually)","87","91","Not Available","112","Not Available","22","48","1","Not Available","38","93","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"NASSAU UNIVERSITY MEDICAL CENTER",330027,"333","127","Very High (60,000+ patients annually)","93","67","Not Available","144","Not Available","39","50","1","85","94","100","Not Available","Not Available","Not Available","84","17","0","0"
"NATCHITOCHES REGIONAL MEDICAL CENTER",190007,"252","86","Medium (20,000 - 39,999 patients annually)","96","100","Not Available","144","Not Available","22","41","3","79","84","95","Not Available","Not Available","Not Available","96","8","0","Not Available"
"NATHAN LITTAUER HOSPITAL",330276,"244","53","Medium (20,000 - 39,999 patients annually)","96","92","Not Available","115","Not Available","12","26","1","Not Available","94","96","Not Available","Not Available","31","86","4","0","Not Available"
"NATIONAL JEWISH HEALTH",60107,"Not Available","Not Available","Not Available","64","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","97","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NATIONAL PARK MEDICAL CENTER",40078,"214","62","Medium (20,000 - 39,999 patients annually)","95","91","Not Available","155","Not Available","45","74","4","55","56","92","Not Available","Not Available","Not Available","95","10","3","Not Available"
"NATIONWIDE CHILDREN'S HOSPITAL",363305,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NATIVIDAD MEDICAL CENTER",50248,"334","109","High (40,000 - 59,999 patients annually)","96","75","Not Available","138","Not Available","24","56","2","Not Available","99","100","Not Available","Not Available","Not Available","100","16","0","Not Available"
"NAVARRO REGIONAL HOSPITAL",450447,"243","69","Medium (20,000 - 39,999 patients annually)","100","53","Not Available","113","Not Available","20","66","2","95","100","100","Not Available","Not Available","Not Available","100","4","4","Not Available"
"NAZARETH HOSPITAL",390204,"342","138","High (40,000 - 59,999 patients annually)","99","89","Not Available","157","Not Available","48","89","2","95","Not Available","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NEA BAPTIST MEMORIAL HOSPITAL",40118,"255","88","High (40,000 - 59,999 patients annually)","100","100","Not Available","163","Not Available","30","80","3","44","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"NEBRASKA ORTHOPAEDIC HOSPITAL",280129,"Not Available","Not Available","Low (0 - 19,999 patients annually)","99","91","Not Available","77","Not Available","16","26","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","95","3","Not Available","Not Available"
"NEBRASKA SPINE HOSPITAL, LLC",280133,"Not Available","Not Available","Not Available","98","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NELL J REDFIELD MEMORIAL HOSPITAL",131303,"Not Available","Not Available","Not Available","67","97","Not Available","108","Not Available","8","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NELSON COUNTY HEALTH SYSTEM",351308,"Not Available","Not Available","Not Available","Not Available","84","Not Available","92","Not Available","10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NEMAHA COUNTY HOSPITAL",281324,"Not Available","Not Available","Not Available","90","99","Not Available","105","Not Available","15","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","83","10","Not Available","Not Available"
"NEMAHA VALLEY COMMUNITY HOSPITAL",171315,"119","2","Low (0 - 19,999 patients annually)","93","99","Not Available","100","Not Available","18","Not Available","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","11","Not Available","Not Available"
"NEMOURS CHILDREN'S HOSPITAL",103304,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NEOSHO MEMORIAL REGIONAL MEDICAL CENTER",171380,"205","38","Low (0 - 19,999 patients annually)","89","97","Not Available","101","Not Available","17","41","1","Not Available","87","82","Not Available","Not Available","Not Available","98","8","0","Not Available"
"NESHOBA COUNTY GENERAL HOSPITAL",250043,"166","50","Medium (20,000 - 39,999 patients annually)","63","68","Not Available","102","Not Available","10","60","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","70","11","Not Available","Not Available"
"NESS COUNTY HOSPITAL DISTRICT #2",171336,"90","15","Not Available","45","91","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NEVADA REGIONAL MEDICAL CENTER",260061,"177","43","Low (0 - 19,999 patients annually)","88","81","Not Available","83","Not Available","15","56","3","57","68","86","Not Available","Not Available","Not Available","96","6","0","Not Available"
"NEW ENGLAND BAPTIST HOSPITAL",220088,"Not Available","Not Available","Not Available","99","96","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","32","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NEW HANOVER REGIONAL MEDICAL CENTER",340141,"317","175","Very High (60,000+ patients annually)","92","99","Not Available","144","Not Available","26","62","3","89","76","94","Not Available","78","Not Available","Not Available","Not Available","4","3"
"NEW LONDON HOSPITAL",301304,"Not Available","Not Available","Low (0 - 19,999 patients annually)","99","98","Not Available","95","Not Available","Not Available","75","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","12","Not Available","Not Available"
"NEW ORLEANS EAST HOSPITAL",190313,"302","81","Medium (20,000 - 39,999 patients annually)","56","91","Not Available","142","Not Available","25","61","1","Not Available","61","Not Available","Not Available","Not Available","Not Available","94","7","Not Available","Not Available"
"NEW ULM MEDICAL CENTER",241378,"211","76","Low (0 - 19,999 patients annually)","96","68","Not Available","114","Not Available","16","34","1","Not Available","100","96","Not Available","Not Available","Not Available","98","5","4","Not Available"
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",330019,"404","166","Medium (20,000 - 39,999 patients annually)","99","68","Not Available","165","Not Available","36","54","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","94","19","Not Available","0"
"NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL",330236,"532","224","Very High (60,000+ patients annually)","95","80","Not Available","202","Not Available","29","46","2","Not Available","93","91","Not Available","100","Not Available","Not Available","Not Available","1","0"
"NEW YORK-PRESBYTERIAN HOSPITAL",330101,"677","378","Very High (60,000+ patients annually)","99","88","Not Available","256","Not Available","25","63","2","Not Available","96","100","Not Available","100","Not Available","Not Available","Not Available","0","2"
"NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL",330267,"361","217","High (40,000 - 59,999 patients annually)","97","95","Not Available","138","Not Available","11","48","0","92","94","83","Not Available","94","Not Available","100","8","0","Not Available"
"NEW YORK-PRESBYTERIAN/QUEENS",330055,"634","264","Very High (60,000+ patients annually)","98","92","Not Available","216","Not Available","36","68","2","91","41","79","Not Available","100","Not Available","Not Available","Not Available","0","0"
"NEWARK BETH ISRAEL MEDICAL CENTER",310002,"594","318","Very High (60,000+ patients annually)","97","90","Not Available","172","Not Available","27","83","3","Not Available","9","19","Not Available","Not Available","Not Available","Not Available","Not Available","1","0"
"NEWARK-WAYNE COMMUNITY HOSPITAL",330030,"253","59","Medium (20,000 - 39,999 patients annually)","96","89","Not Available","154","Not Available","20","46","1","75","98","98","Not Available","Not Available","Not Available","94","14","0","Not Available"
"NEWBERRY COUNTY MEMORIAL HOSPITAL",420053,"283","68","Medium (20,000 - 39,999 patients annually)","100","98","Not Available","138","Not Available","32","54","2","86","94","100","Not Available","Not Available","Not Available","95","14","0","Not Available"
"NEWMAN MEMORIAL HOSPITAL",371336,"211","55","Not Available","78","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NEWMAN REGIONAL HEALTH",171384,"185","59","Low (0 - 19,999 patients annually)","99","70","Not Available","136","Not Available","19","35","1","74","Not Available","Not Available","Not Available","Not Available","Not Available","97","5","2","Not Available"
"NEWPORT COMMUNITY HOSPITAL",501310,"Not Available","Not Available","Low (0 - 19,999 patients annually)","69","74","Not Available","95","Not Available","40","47","2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","95","5","Not Available","Not Available"
"NEWPORT HOSPITAL",410006,"261","165","Medium (20,000 - 39,999 patients annually)","98","95","Not Available","144","Not Available","29","45","1","57","94","100","Not Available","Not Available","Not Available","100","10","5","Not Available"
"NEWTON MEDICAL CENTER",170103,"195","38","Low (0 - 19,999 patients annually)","99","97","Not Available","129","Not Available","16","56","1","Not Available","93","96","Not Available","Not Available","Not Available","98","7","3","Not Available"
"NEWTON MEDICAL CENTER",310028,"318","140","Medium (20,000 - 39,999 patients annually)","98","94","Not Available","158","Not Available","19","48","0","100","77","95","Not Available","Not Available","96","96","8","2","5"
"NEWTON-WELLESLEY HOSPITAL",220101,"348","114","High (40,000 - 59,999 patients annually)","99","88","Not Available","194","Not Available","38","61","1","100","100","96","Not Available","Not Available","63","92","8","3","Not Available"
