"Hospital.Name","Provider.ID","OP_10","OP_11","OP_13","OP_14","OP_8","OP_9"
"MADISON HOSPITAL",241372,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MADISON MEDICAL CENTER",261302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MADISON MEMORIAL HOSPITAL",130025,"1.9","1.2","6.3","0.0","Not Available","Not Available"
"MADISON PARISH HOSPITAL",191314,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MADISON REGIONAL HEALTH SYSTEM",431300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MADISON ST JOSEPH HEALTH CENTER",451316,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MADISON VALLEY MEDICAL CENTER",271329,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MAGEE GENERAL HOSPITAL",250124,"49.8","16.2","Not Available","0.0","Not Available","8.5"
"MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM",390114,"2.5","0.0","Not Available","0.0","Not Available","9.5"
"MAGNOLIA HOSPITAL",40067,"9.0","0.0","Not Available","0.6","50.0","6.3"
"MAGNOLIA REGIONAL HEALTH CENTER",250009,"4.7","0.1","6.5","3.0","33.2","9.7"
"MAHASKA  HEALTH PARTNERSHIP",161379,"47.4","2.7","Not Available","0.4","Not Available","1.5"
"MAHNOMEN HEALTH CENTER",241300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MAIMONIDES MEDICAL CENTER",330194,"2.3","2.5","6.1","2.6","Not Available","23.1"
"MAIN LINE HOSPITAL BRYN MAWR CAMPUS",390139,"10.4","4.3","3.8","0.9","Not Available","10.1"
"MAIN LINE HOSPITAL LANKENAU",390195,"9.0","3.3","4.7","1.9","30.1","11.1"
"MAIN LINE HOSPITAL PAOLI",390153,"7.0","2.4","8.0","1.6","Not Available","9.8"
"MAINE COAST MEMORIAL HOSPITAL",200050,"5.4","0.5","6.0","1.0","45.2","3.6"
"MAINE MEDICAL CENTER",200009,"2.6","0.4","2.9","1.2","41.0","9.4"
"MAINEGENERAL MEDICAL CENTER",200039,"2.7","0.2","4.5","1.8","Not Available","4.6"
"MAJOR HOSPITAL",150097,"8.0","3.9","4.6","2.1","31.1","6.4"
"MAMMOTH HOSPITAL",51303,"Not Available","Not Available","Not Available","Not Available","Not Available","2.7"
"MANATEE MEMORIAL HOSPITAL",100035,"2.0","0.0","7.5","2.4","Not Available","5.5"
"MANATI MEDICAL CENTER DR OTERO LOPEZ",400114,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MANCHESTER MEMORIAL HOSPITAL",70027,"3.8","0.0","4.9","0.9","Not Available","14.7"
"MANGUM REGIONAL MEDICAL CENTER",371330,"42.7","Not Available","Not Available","Not Available","Not Available","Not Available"
"MANHATTAN SURGICAL HOSPITAL LLC",170190,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MANIILAQ HEALTH CENTER",21310,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MANNING REGIONAL HEALTHCARE CENTER",161332,"Not Available","Not Available","Not Available","Not Available","Not Available","10.5"
"MAPLE GROVE HOSPITAL",240214,"0.4","Not Available","Not Available","Not Available","Not Available","Not Available"
"MARCUM & WALLACE MEMORIAL HOSPITAL",181301,"6.0","6.6","Not Available","0.7","Not Available","7.9"
"MARCUS DALY MEMORIAL HOSPITAL - CAH",271340,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MARENGO MEMORIAL HOSPITAL",161317,"5.0","Not Available","Not Available","Not Available","Not Available","16.9"
"MARGARET MARY HEALTH",151329,"15.9","16.3","3.0","0.9","Not Available","13.7"
"MARGARET R PARDEE MEMORIAL HOSPITAL",340017,"11.0","11.0","2.8","1.0","40.6","8.1"
"MARGARETVILLE MEMORIAL HOSPITAL",331304,"3.4","0.0","Not Available","Not Available","Not Available","8.6"
"MARIA PARHAM MEDICAL CENTER",340132,"1.3","1.9","3.6","1.3","Not Available","4.9"
"MARIAN REGIONAL MEDICAL CENTER",50107,"11.9","4.8","5.6","0.8","23.4","8.8"
"MARIAS MEDICAL CENTER",271328,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MARICOPA MEDICAL CENTER",30022,"4.3","0.6","Not Available","Not Available","Not Available","6.1"
"MARIETTA MEMORIAL HOSPITAL",360147,"4.9","2.2","8.0","4.3","45.5","6.2"
"MARIN GENERAL HOSPITAL",50360,"5.6","0.1","3.3","0.4","Not Available","6.8"
"MARINA DEL REY HOSPITAL",50740,"8.2","0.0","Not Available","1.4","Not Available","5.5"
"MARINERS HOSPITAL",101313,"3.3","0.6","7.0","0.8","Not Available","10.1"
"MARION GENERAL HOSPITAL",150011,"6.1","3.9","Not Available","1.8","40.9","10.9"
"MARION GENERAL HOSPITAL",250085,"6.4","1.6","0.0","Not Available","Not Available","Not Available"
"MARION GENERAL HOSPITAL",360011,"2.5","1.0","5.6","0.8","39.1","10.2"
"MARION REGIONAL MEDICAL CENTER",10044,"7.5","2.6","Not Available","0.0","Not Available","Not Available"
"MARK TWAIN MEDICAL CENTER",51332,"3.0","1.0","1.0","1.6","62.5","8.1"
"MARLBOROUGH HOSPITAL",220049,"1.5","0.3","4.7","1.1","Not Available","9.7"
"MARLETTE REGIONAL HOSPITAL",231330,"0.4","0.8","5.8","0.5","Not Available","5.5"
"MARSHALL BROWNING HOSPITAL",141331,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MARSHALL COUNTY HEALTHCARE CENTER - CAH",431312,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MARSHALL COUNTY HOSPITAL",181327,"5.3","0.4","Not Available","Not Available","Not Available","4.0"
"MARSHALL MEDICAL CENTER",50254,"12.6","0.0","2.1","1.4","41.8","13.4"
"MARSHALL MEDICAL CENTER",441309,"7.3","4.5","Not Available","Not Available","Not Available","15.1"
"MARSHALL MEDICAL CENTER SOUTH",10005,"16.1","8.9","3.9","1.8","43.0","4.3"
"MARSHFIELD MEDICAL CENTER",520037,"0.0","Not Available","4.0","1.0","Not Available","Not Available"
"MARTHA JEFFERSON HOSPITAL",490077,"4.6","0.1","4.5","1.1","46.8","10.1"
"MARTHA'S VINEYARD HOSPITAL INC",221300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MARTIN COUNTY HOSPITAL DISTRICT",451333,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MARTIN GENERAL HOSPITAL",340133,"2.3","1.3","7.7","1.7","Not Available","3.7"
"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",50779,"1.2","Not Available","Not Available","1.0","Not Available","Not Available"
"MARTIN MEDICAL CENTER",100044,"4.1","0.4","6.2","1.2","27.8","11.5"
"MARY BLACK HEALTH SYSTEM GAFFNEY",420043,"2.4","0.0","7.3","1.4","Not Available","9.0"
"MARY BLACK HEALTH SYSTEM SPARTANBURG",420083,"5.5","0.0","4.7","Not Available","37.8","8.1"
"MARY BRECKINRIDGE ARH HOSPITAL",181316,"3.1","Not Available","Not Available","0.6","Not Available","Not Available"
"MARY BRIDGE CHILDREN'S HOSPITAL",503301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MARY GREELEY MEDICAL CENTER",160030,"0.0","1.9","4.5","0.7","Not Available","13.4"
"MARY HITCHCOCK MEMORIAL HOSPITAL",300003,"3.1","0.0","4.2","1.1","29.9","5.8"
"MARY HURLEY HOSPITAL",371319,"7.8","Not Available","Not Available","Not Available","Not Available","Not Available"
"MARY IMMACULATE HOSPITAL",490041,"3.4","0.0","3.8","0.5","Not Available","5.8"
"MARY IMOGENE BASSETT HOSPITAL",330136,"5.4","0.2","3.1","0.3","43.9","7.0"
"MARY LANNING HEALTHCARE",280032,"6.6","0.7","4.1","1.5","30.4","13.4"
"MARY RUTAN HOSPITAL",360197,"4.8","3.6","6.1","Not Available","Not Available","9.3"
"MARY WASHINGTON HOSPITAL, INC",490022,"1.3","0.0","5.8","0.5","Not Available","Not Available"
"MARYMOUNT HOSPITAL",360143,"5.9","0.0","4.4","2.0","Not Available","10.6"
"MASON DISTRICT HOSPITAL",141313,"10.5","8.3","Not Available","Not Available","Not Available","6.3"
"MASON GENERAL HOSPITAL & FAMILY OF CLINICS",501336,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MASONICARE HEALTH CENTER",70039,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MASSAC MEMORIAL HOSPITAL",141323,"6.2","2.2","3.2","Not Available","Not Available","8.9"
"MASSACHUSETTS EYE AND EAR INFIRMARY -",220075,"Not Available","0.0","Not Available","8.3","Not Available","Not Available"
"MASSACHUSETTS GENERAL HOSPITAL",220071,"3.2","0.1","4.1","1.3","33.1","5.6"
"MASSENA MEMORIAL HOSPITAL",330223,"1.3","0.0","3.5","Not Available","42.5","8.0"
"MAT-SU REGIONAL MEDICAL CENTER",20006,"5.6","0.7","Not Available","2.0","Not Available","15.6"
"MATAGORDA REGIONAL MEDICAL CENTER",450465,"5.2","0.5","Not Available","1.2","Not Available","4.5"
"MAUI MEMORIAL MEDICAL CENTER",120002,"1.0","0.0","6.7","0.9","Not Available","Not Available"
"MAURY REGIONAL HOSPITAL",440073,"7.5","3.5","5.7","1.4","38.7","7.4"
"MAYAGUEZ MEDICAL CENTER DR RAMON EMETERIO BETANCES",400103,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MAYERS MEMORIAL HOSPITAL",51305,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MAYHILL HOSPITAL",670010,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MAYO CLINIC",100151,"1.2","0.0","10.7","0.1","Not Available","Not Available"
"MAYO CLINIC HEALTH SYSTEM  CHIPPEWA VALLEY",521314,"1.0","0.0","Not Available","Not Available","Not Available","7.3"
"MAYO CLINIC HEALTH SYSTEM  NORTHLAND",521315,"7.0","0.0","Not Available","0.5","Not Available","8.9"
"MAYO CLINIC HEALTH SYSTEM  RED CEDAR",521340,"0.4","0.0","Not Available","0.4","42.5","9.2"
"MAYO CLINIC HEALTH SYSTEM - ALBERT LEA",240043,"5.2","1.4","2.3","1.5","36.7","9.3"
"MAYO CLINIC HEALTH SYSTEM - CANNON FALLS",241346,"4.9","Not Available","Not Available","Not Available","Not Available","10.9"
"MAYO CLINIC HEALTH SYSTEM - FAIRMONT",240166,"9.6","1.3","Not Available","0.6","Not Available","6.5"
"MAYO CLINIC HEALTH SYSTEM - LAKE CITY",241338,"4.4","Not Available","Not Available","0.0","Not Available","9.9"
"MAYO CLINIC HEALTH SYSTEM - MANKATO",240093,"13.6","0.5","3.2","0.9","Not Available","Not Available"
"MAYO CLINIC HEALTH SYSTEM - NEW PRAGUE",241361,"11.8","Not Available","Not Available","Not Available","Not Available","7.6"
"MAYO CLINIC HEALTH SYSTEM - SPRINGFIELD",241352,"Not Available","0.0","Not Available","Not Available","Not Available","3.3"
"MAYO CLINIC HEALTH SYSTEM - ST JAMES",241333,"5.4","Not Available","Not Available","0.0","Not Available","4.4"
"MAYO CLINIC HEALTH SYSTEM - WASECA",241345,"9.3","0.0","Not Available","Not Available","Not Available","9.3"
"MAYO CLINIC HEALTH SYSTEM IN EAU CLAIRE",520070,"7.6","0.1","4.2","1.4","32.6","Not Available"
"MAYO CLINIC HEALTH SYSTEM IN RED WING",240018,"6.8","1.1","3.9","0.6","42.5","7.2"
"MAYO CLINIC HEALTH SYSTEM OAKRIDGE",521302,"0.0","0.0","Not Available","0.0","Not Available","8.6"
"MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR",520004,"6.1","0.2","5.9","2.0","35.5","5.3"
"MAYO CLINIC HLTH SYSTM FRANCISCAN HLTHCARE SPARTA",521305,"3.6","0.0","Not Available","Not Available","Not Available","9.1"
"MAYO CLINIC HOSPITAL",30103,"5.3","0.2","6.8","1.8","44.8","Not Available"
"MAYO CLINIC HOSPITAL ROCHESTER",240010,"4.9","0.2","9.9","1.6","Not Available","Not Available"
"MAYO REGIONAL HOSPITAL",201309,"2.9","0.0","Not Available","0.4","Not Available","11.7"
"MC DONOUGH DISTRICT HOSPITAL",140089,"55.5","13.3","Not Available","0.0","Not Available","6.1"
"MCALESTER REGIONAL HEALTH CENTER AUTHORITY",370034,"28.7","9.5","3.7","1.2","44.7","10.5"
"MCBRIDE ORTHOPEDIC HOSPITAL",370222,"Not Available","Not Available","Not Available","Not Available","40.9","Not Available"
"MCCAMEY HOSPITAL",451309,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MCCONE COUNTY HEALTH CENTER",271305,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MCCULLOUGH-HYDE MEMORIAL HOSPITAL",360046,"5.2","1.5","Not Available","Not Available","40.9","16.8"
"MCCURTAIN MEMORIAL HOSPITAL",370048,"35.8","28.8","Not Available","Not Available","Not Available","6.9"
"MCDOWELL ARH HOSPITAL",181331,"4.8","0.0","Not Available","Not Available","Not Available","9.6"
"MCGEHEE HOSPITAL",41308,"3.9","6.7","Not Available","0.0","Not Available","Not Available"
"MCKAY DEE HOSPITAL",460004,"2.0","0.3","3.8","1.4","45.1","7.4"
"MCKEE MEDICAL CENTER",60030,"7.7","8.8","8.0","1.1","Not Available","8.1"
"MCKENZIE COUNTY HEALTHCARE SYSTEMS",351302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MCKENZIE HEALTH SYSTEM",231314,"5.7","5.6","Not Available","0.4","Not Available","14.6"
"MCKENZIE REGIONAL HOSPITAL",440182,"1.3","0.0","Not Available","Not Available","Not Available","8.6"
"MCKENZIE-WILLAMETTE MEDICAL CENTER",380020,"1.3","0.0","3.2","Not Available","Not Available","Not Available"
"MCLAREN - NORTHERN MICHIGAN",230105,"5.5","1.6","4.6","1.3","42.0","8.3"
"MCLAREN BAY REGION",230041,"11.5","1.8","3.5","1.7","40.6","4.5"
"MCLAREN CENTRAL MICHIGAN",230080,"8.4","15.2","3.5","Not Available","41.9","5.3"
"MCLAREN FLINT",230141,"19.9","1.5","4.2","2.5","33.0","5.6"
"MCLAREN GREATER LANSING",230167,"23.2","0.0","3.7","1.3","33.9","3.2"
"MCLAREN LAPEER REGION",230193,"4.3","0.7","11.3","2.6","31.7","11.6"
"MCLAREN MACOMB",230227,"15.3","20.1","4.9","2.4","Not Available","5.9"
"MCLAREN OAKLAND",230207,"18.0","3.4","7.8","Not Available","Not Available","6.4"
"MCLAREN PORT HURON",230216,"4.0","2.3","3.5","1.4","34.7","12.3"
"MCLEOD HEALTH CHERAW",420107,"2.2","2.4","Not Available","1.7","Not Available","11.9"
"MCLEOD HEALTH CLARENDON",420109,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MCLEOD LORIS  HOSPITAL",420105,"3.0","0.5","6.1","1.3","38.0","6.3"
"MCLEOD MEDICAL CENTER - DARLINGTON",420057,"1.3","0.0","Not Available","Not Available","Not Available","5.1"
"MCLEOD MEDICAL CENTER - DILLON",420005,"2.1","0.7","Not Available","1.4","Not Available","7.5"
"MCLEOD REGIONAL MEDICAL CENTER-PEE DEE",420051,"3.4","0.3","5.4","2.2","44.7","6.3"
"MCPHERSON HOSPITAL INC",170105,"56.0","6.1","Not Available","Not Available","Not Available","11.8"
"MEADE DISTRICT HOSPITAL",171321,"11.1","Not Available","Not Available","0.0","Not Available","8.8"
"MEADOWLANDS HOSPITAL MEDICAL CENTER",310118,"4.8","Not Available","Not Available","Not Available","Not Available","Not Available"
"MEADOWS REGIONAL MEDICAL CENTER",110128,"14.6","2.5","5.1","0.7","49.3","8.9"
"MEADOWVIEW REGIONAL MEDICAL CENTER",180019,"31.7","0.9","3.0","0.0","Not Available","9.1"
"MEADVILLE MEDICAL CENTER",390113,"3.3","0.7","7.5","1.4","36.7","7.4"
"MEASE COUNTRYSIDE HOSPITAL",100265,"11.7","0.2","Not Available","1.7","42.4","7.4"
"MEASE DUNEDIN HOSPITAL",100043,"10.0","0.0","Not Available","1.4","Not Available","5.5"
"MEDICAL ARTS HOSPITAL",450489,"23.8","1.3","Not Available","0.0","Not Available","Not Available"
"MEDICAL CENTER AT ELIZABETH PLACE",360274,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MEDICAL CENTER BARBOUR",10069,"5.1","6.0","7.6","Not Available","Not Available","2.3"
"MEDICAL CENTER ENTERPRISE",10049,"6.4","1.0","Not Available","4.5","40.0","7.7"
"MEDICAL CENTER HOSPITAL",450132,"9.9","16.8","2.7","0.8","43.8","7.1"
"MEDICAL CENTER OF AURORA, THE",60100,"3.4","1.7","3.1","2.2","Not Available","7.0"
"MEDICAL CENTER OF LEWISVILLE",450669,"5.6","0.0","Not Available","0.3","Not Available","8.7"
"MEDICAL CENTER OF MCKINNEY",450403,"5.2","2.5","Not Available","2.5","Not Available","4.7"
"MEDICAL CENTER OF PEACH COUNTY, NAVICENT HEALTH",111310,"1.2","0.0","Not Available","0.9","Not Available","3.5"
"MEDICAL CENTER OF PLANO",450651,"16.0","6.4","3.2","2.6","Not Available","2.7"
"MEDICAL CENTER OF THE ROCKIES",60119,"3.8","1.0","4.7","2.1","44.0","8.1"
"MEDICAL CENTER OF TRINITY",100191,"2.7","1.3","Not Available","2.9","Not Available","14.8"
"MEDICAL CENTER SOUTH ARKANSAS",40088,"4.2","0.3","3.8","1.7","47.1","7.9"
"MEDICAL CENTER, NAVICENT HEALTH (THE)",110107,"3.4","0.4","2.4","0.4","Not Available","5.7"
"MEDICAL CITY ALLIANCE",670103,"1.1","Not Available","Not Available","Not Available","Not Available","5.8"
"MEDICAL CITY ARLINGTON",450675,"3.1","Not Available","Not Available","1.5","Not Available","6.5"
"MEDICAL CITY DALLAS",450647,"8.0","0.7","3.7","2.4","Not Available","5.9"
"MEDICAL COLLEGE OF VIRGINIA HOSPITALS",490032,"7.8","0.0","6.7","0.6","31.1","4.9"
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,"5.2","0.0","9.8","2.2","61.2","11.4"
"MEDICINE LODGE MEMORIAL HOSPITAL",171334,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MEDINA HOSPITAL",360091,"2.4","0.2","4.4","Not Available","Not Available","13.7"
"MEDINA MEMORIAL HOSPITAL",331319,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MEDINA REGIONAL HOSPITAL",451330,"8.8","2.4","Not Available","0.5","Not Available","8.5"
"MEDSTAR FRANKLIN SQUARE MEDICAL CENTER",210015,"0.2","0.0","6.0","0.9","Not Available","Not Available"
"MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL",90004,"3.0","0.2","6.4","Not Available","Not Available","14.8"
"MEDSTAR GOOD SAMARITAN HOSPITAL",210056,"2.2","0.0","6.0","2.8","41.0","12.7"
"MEDSTAR HARBOR HOSPITAL",210034,"2.7","0.0","7.8","2.3","Not Available","21.6"
"MEDSTAR MONTGOMERY MEDICAL CENTER",210018,"0.7","0.0","Not Available","4.6","Not Available","Not Available"
"MEDSTAR SAINT MARY'S HOSPITAL",210028,"2.4","1.2","Not Available","1.4","39.6","7.2"
"MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER",210062,"0.4","0.0","4.8","1.2","Not Available","Not Available"
"MEDSTAR UNION MEMORIAL HOSPITAL",210024,"2.5","0.2","8.3","1.7","35.3","8.2"
"MEDSTAR WASHINGTON HOSPITAL CENTER",90011,"1.4","0.2","5.6","2.5","40.7","7.4"
"MEEKER MEMORIAL HOSPITAL",241366,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MELISSA MEMORIAL HOSPITAL",61305,"Not Available","Not Available","Not Available","0.0","Not Available","4.5"
"MEMORIAL COMMUNITY HOSPITAL MCH & HEALTH SYSTEM",281359,"3.1","0.0","Not Available","0.0","Not Available","10.7"
"MEMORIAL HEALTH CARE SYSTEMS",281339,"12.7","0.0","6.0","0.7","Not Available","9.8"
"MEMORIAL HEALTH UNIV MED CEN, INC",110036,"28.4","15.4","3.2","0.9","34.2","10.2"
"MEMORIAL HEALTHCARE",230121,"1.9","0.2","1.6","1.3","32.9","9.2"
"MEMORIAL HEALTHCARE SYSTEM, INC",440091,"12.4","1.0","5.1","1.8","44.1","4.4"
"MEMORIAL HERMANN HOSPITAL SYSTEM",450184,"13.6","6.8","5.7","1.3","33.1","6.9"
"MEMORIAL HERMANN KATY HOSPITAL",450847,"15.6","7.1","Not Available","2.1","46.2","7.1"
"MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER",450610,"28.2","6.6","4.8","1.6","43.0","6.8"
"MEMORIAL HERMANN NORTHEAST",450684,"11.0","8.6","Not Available","2.1","36.7","5.8"
"MEMORIAL HERMANN SUGAR LAND HOSPITAL",450848,"15.4","3.9","Not Available","1.4","41.2","6.4"
"MEMORIAL HERMANN SURGICAL HOSPITAL KINGWOOD",670005,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MEMORIAL HERMANN TEXAS MEDICAL CENTER",450068,"23.1","3.3","3.3","0.8","51.4","8.5"
"MEMORIAL HOSPITAL",140185,"5.0","1.2","5.3","1.5","33.6","6.8"
"MEMORIAL HOSPITAL",141305,"11.8","4.4","Not Available","Not Available","Not Available","5.5"
"MEMORIAL HOSPITAL",141338,"0.0","0.9","5.3","Not Available","Not Available","0.0"
"MEMORIAL HOSPITAL",150072,"2.9","2.2","2.6","0.5","Not Available","4.9"
"MEMORIAL HOSPITAL",171381,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MEMORIAL HOSPITAL",180043,"2.2","4.5","Not Available","Not Available","24.6","7.9"
"MEMORIAL HOSPITAL",281320,"8.2","0.0","6.3","Not Available","Not Available","7.7"
"MEMORIAL HOSPITAL",360092,"2.9","0.0","4.7","0.6","Not Available","7.0"
"MEMORIAL HOSPITAL",360156,"6.6","1.1","7.6","Not Available","40.0","5.6"
"MEMORIAL HOSPITAL",370178,"0.0","0.0","Not Available","Not Available","Not Available","Not Available"
"MEMORIAL HOSPITAL",390101,"7.1","5.0","2.3","1.0","Not Available","12.0"
"MEMORIAL HOSPITAL",450235,"10.9","13.8","Not Available","0.0","Not Available","12.3"
"MEMORIAL HOSPITAL",450508,"7.6","3.8","Not Available","1.0","Not Available","13.0"
"MEMORIAL HOSPITAL",451358,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MEMORIAL HOSPITAL",451386,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MEMORIAL HOSPITAL AND HEALTH CARE CENTER",150115,"3.2","0.4","6.0","0.3","33.8","9.5"
"MEMORIAL HOSPITAL AND MANOR",110132,"19.5","3.9","Not Available","Not Available","55.6","6.5"
"MEMORIAL HOSPITAL AT GULFPORT",250019,"44.9","1.9","5.6","1.1","30.4","10.3"
"MEMORIAL HOSPITAL JACKSONVILLE",100179,"7.2","2.1","Not Available","2.5","Not Available","7.2"
"MEMORIAL HOSPITAL LOS BANOS",50528,"2.4","0.5","Not Available","1.5","Not Available","19.1"
"MEMORIAL HOSPITAL MIRAMAR",100285,"1.4","1.6","Not Available","Not Available","Not Available","26.6"
"MEMORIAL HOSPITAL OF CARBON COUNTY",531316,"4.5","0.0","Not Available","Not Available","Not Available","11.6"
"MEMORIAL HOSPITAL OF CARBONDALE",140164,"12.1","16.4","5.1","3.3","Not Available","6.0"
"MEMORIAL HOSPITAL OF CONVERSE COUNTY",531302,"9.1","0.0","2.1","0.0","Not Available","14.4"
"MEMORIAL HOSPITAL OF GARDENA",50468,"1.3","Not Available","Not Available","0.5","Not Available","Not Available"
"MEMORIAL HOSPITAL OF LAFAYETTE COUNTY",521312,"5.5","Not Available","Not Available","0.0","Not Available","10.6"
"MEMORIAL HOSPITAL OF MARTINSVILLE & HENRY COUNTY",490079,"2.8","1.0","4.4","1.4","42.9","4.2"
"MEMORIAL HOSPITAL OF RHODE ISLAND",410001,"2.1","0.3","4.3","1.7","Not Available","7.1"
"MEMORIAL HOSPITAL OF SALEM COUNTY",310091,"7.1","0.3","Not Available","Not Available","Not Available","14.0"
"MEMORIAL HOSPITAL OF SOUTH BEND",150058,"4.6","0.0","4.1","0.8","Not Available","5.8"
"MEMORIAL HOSPITAL OF TAMPA",100206,"3.4","2.2","0.0","Not Available","Not Available","13.4"
"MEMORIAL HOSPITAL OF TEXAS COUNTY AUTHORITY",370138,"25.3","Not Available","6.6","0.0","Not Available","9.7"
"MEMORIAL HOSPITAL PEMBROKE",100230,"2.3","4.5","Not Available","Not Available","Not Available","Not Available"
"MEMORIAL HOSPITAL SWEETWATER COUNTY",530011,"14.2","2.7","3.2","Not Available","Not Available","13.1"
"MEMORIAL HOSPITAL WEST",100281,"4.5","1.4","Not Available","1.1","Not Available","18.5"
"MEMORIAL HOSPITAL, THE",61314,"2.9","0.0","Not Available","Not Available","Not Available","6.0"
"MEMORIAL HOSPITAL, THE",301307,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MEMORIAL MEDICAL CENTER",50557,"0.4","0.0","6.3","1.4","Not Available","Not Available"
"MEMORIAL MEDICAL CENTER",140148,"4.4","3.3","1.4","2.6","37.3","6.8"
"MEMORIAL MEDICAL CENTER",320018,"42.0","4.4","7.6","1.7","41.3","9.2"
"MEMORIAL MEDICAL CENTER",451356,"25.6","35.1","Not Available","Not Available","56.8","17.4"
"MEMORIAL MEDICAL CENTER",521323,"Not Available","Not Available","Not Available","Not Available","Not Available","10.8"
"MEMORIAL MEDICAL CENTER",521359,"3.4","0.5","1.5","Not Available","Not Available","3.2"
"MEMORIAL MEDICAL CENTER LIVINGSTON",450395,"22.0","17.1","5.5","2.1","32.3","7.8"
"MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE",340002,"2.3","0.0","3.9","2.2","40.9","7.3"
"MEMORIAL REGIONAL HOSPITAL",100038,"4.2","3.0","Not Available","1.3","50.0","21.9"
"MEMORIAL SATILLA HEALTH",110003,"5.1","0.4","3.8","2.4","27.6","5.1"
"MENA REGIONAL HEALTH SYSTEM",40015,"6.9","4.8","3.9","0.0","54.5","10.6"
"MENDOCINO COAST DISTRICT HOSPITAL",51325,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MENIFEE VALLEY MEDICAL CENTER",50684,"34.2","Not Available","Not Available","0.0","Not Available","Not Available"
"MENLO PARK SURGICAL HOSPITAL",50754,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MENNONITE GENERAL HOSPITAL INC",400018,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MENORAH MEDICAL CENTER",170182,"3.8","0.2","3.7","Not Available","34.2","16.9"
"MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL",360058,"8.3","0.9","3.2","0.4","44.4","5.6"
"MERCY ALLEN HOSPITAL",361306,"1.0","3.6","Not Available","1.1","Not Available","4.6"
"MERCY FITZGERALD HOSPITAL",390156,"7.8","0.0","6.1","Not Available","34.0","8.7"
"MERCY GENERAL HOSPITAL",50017,"0.6","0.0","1.9","1.0","Not Available","Not Available"
"MERCY GILBERT MEDICAL CENTER",30119,"1.7","0.0","3.7","0.9","Not Available","15.4"
"MERCY HARVARD HOSPITAL",141335,"5.0","1.9","6.8","Not Available","Not Available","6.7"
"MERCY HEALTH - WEST HOSPITAL",360234,"7.2","0.3","6.6","1.0","31.8","8.4"
"MERCY HEALTH LAKESHORE CAMPUS",231320,"3.7","2.1","Not Available","0.6","Not Available","5.6"
"MERCY HEALTH LOVE COUNTY",371306,"11.1","1.8","Not Available","0.0","Not Available","Not Available"
"MERCY HEALTH MUSKEGON",230066,"6.4","0.0","3.5","0.8","44.1","5.6"
