"HOSPITAL_NAME","PROVIDER_ID","STATE","FISCAL_YEAR","DOMAIN_1_SCORE","DOMAIN_1_FOOTNOTE","DOMAIN_1_START_DATE","DOMAIN_1_END_DATE","PSI_90_W_Z_SCORE","PSI_90_FOOTNOTE","DOMAIN_2_SCORE","DOMAIN_2_FOOTNOTE","CLABSI_W_Z_SCORE","CLABSI_FOOTNOTE","CAUTI_W_Z_SCORE","CAUTI_FOOTNOTE","SSI_W_Z_SCORE","SSI_FOOTNOTE","MRSA_W_Z_SCORE","MRSA_FOOTNOTE","CDI_W_Z_SCORE","CDI_FOOTNOTE","DOMAIN_2_START_DATE","DOMAIN_2_END_DATE","TOTAL_HAC_SCORE","TOTAL_HAC_FOOTNOTE","PAYMENT_REDUCTION","PAYMENT_REDUCTION_FOOTNOTE"
"MAINE COAST MEMORIAL HOSPITAL","200050","ME","2018","-0.9936","","07/01/2014","09/30/2015","-0.9936","","-0.0343","","Not Available","5","Not Available","5","1.5034","","Not Available","5","-1.5720","","01/01/2015","12/31/2016","-0.1782","","No",""
"NORTHERN MAINE MEDICAL CENTER","200052","ME","2018","-0.0692","","07/01/2014","09/30/2015","-0.0692","","0.4022","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","0.4022","","01/01/2015","12/31/2016","0.3315","","No",""
"PENOBSCOT BAY MEDICAL CENTER","200063","ME","2018","1.4064","","07/01/2014","09/30/2015","1.4064","","0.1820","","Not Available","5","2.1297","","1.0126","","-1.4551","","-0.9591","","01/01/2015","12/31/2016","0.3657","","No",""
"MERITUS MEDICAL CENTER","210001","MD","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","0.4469","","0.1042","","-0.0019","","-0.0425","","1.4736","","0.7010","","01/01/2015","12/31/2016","0.1231","","N/A","a"
"UNIVERSITY OF MD MEDICAL CENTER","210002","MD","2018","0.5455","23","07/01/2014","09/30/2015","0.5455","23","0.8651","","0.1346","","0.8668","","1.3340","","1.2611","","0.7291","","01/01/2015","12/31/2016","0.8172","23","N/A","a"
"PRINCE GEORGES  HOSPITAL CENTER","210003","MD","2018","0.8022","","07/01/2014","09/30/2015","0.8022","","0.2920","","2.1946","","-0.9190","","-0.8653","","1.4007","","-0.3512","","01/01/2015","12/31/2016","0.3685","","N/A","a"
"HOLY CROSS HOSPITAL","210004","MD","2018","0.8919","","07/01/2014","09/30/2015","0.8919","","0.1279","","0.8348","","-0.3076","","-0.5788","","-1.2689","","1.9601","","01/01/2015","12/31/2016","0.2425","","N/A","a"
"FREDERICK MEMORIAL HOSPITAL","210005","MD","2018","-1.1554","","07/01/2014","09/30/2015","-1.1554","","-0.2690","","-0.8768","","0.2587","","-0.3849","","-0.1133","","-0.2286","","01/01/2015","12/31/2016","-0.4019","","N/A","a"
"UNIVERSITY OF MD HARFORD MEMORIAL HOSPITAL","210006","MD","2018","-0.4095","","07/01/2014","09/30/2015","-0.4095","","0.7471","","2.0407","","1.9276","","-1.4872","","2.2236","","-0.9693","","01/01/2015","12/31/2016","0.5736","","N/A","a"
"MERCY MEDICAL CENTER INC","210008","MD","2018","-1.1717","","07/01/2014","09/30/2015","-1.1717","","0.4173","","0.2513","","-0.1589","","2.1044","","-0.8392","","0.7291","","01/01/2015","12/31/2016","0.1790","","N/A","a"
"JOHNS HOPKINS HOSPITAL, THE","210009","MD","2018","0.3489","23","07/01/2014","09/30/2015","0.3489","23","0.3072","","1.0953","","-0.5348","","0.3924","","0.2218","","0.3613","","01/01/2015","12/31/2016","0.3135","23","N/A","a"
"SAINT AGNES HOSPITAL","210011","MD","2018","2.3268","","07/01/2014","09/30/2015","2.3268","","0.3471","","0.4644","","0.2788","","0.3785","","-0.0388","","0.6525","","01/01/2015","12/31/2016","0.6440","","N/A","a"
"SINAI HOSPITAL OF BALTIMORE","210012","MD","2018","-0.9806","","07/01/2014","09/30/2015","-0.9806","","0.8020","","0.2733","","1.4665","","1.1680","","1.0982","","0.0038","","01/01/2015","12/31/2016","0.5346","","N/A","a"
"BON SECOURS HOSPITAL","210013","MD","2018","-0.5958","","07/01/2014","09/30/2015","-0.5958","","1.3950","","2.1946","","1.2711","","2.1044","","2.2236","","-0.8186","","01/01/2015","12/31/2016","1.0964","","N/A","a"
"MEDSTAR FRANKLIN SQUARE MEDICAL CENTER","210015","MD","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","-0.1648","","-0.7415","","0.9052","","-0.2120","","-0.4142","","-0.3614","","01/01/2015","12/31/2016","-0.3968","","N/A","a"
"ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL","210016","MD","2018","0.8776","","07/01/2014","09/30/2015","0.8776","","0.8186","","0.3663","","1.1508","","1.2502","","-0.6345","","1.9601","","01/01/2015","12/31/2016","0.8274","","N/A","a"
"GARRETT COUNTY MEMORIAL HOSPITAL","210017","MD","2018","-0.9990","","07/01/2014","09/30/2015","-0.9990","","-0.3508","","Not Available","5","-1.5254","","-1.4872","","Not Available","5","1.9601","","01/01/2015","12/31/2016","-0.4480","","N/A","a"
"MEDSTAR MONTGOMERY MEDICAL CENTER","210018","MD","2018","-0.3898","","07/01/2014","09/30/2015","-0.3898","","-0.6634","","-1.1677","","-1.1963","","-0.3203","","-0.2358","","-0.3972","","01/01/2015","12/31/2016","-0.6224","","N/A","a"
"PENINSULA REGIONAL MEDICAL CENTER","210019","MD","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","0.5665","","1.8344","","1.7138","","-0.8478","","0.2125","","-0.0805","","01/01/2015","12/31/2016","0.2247","","N/A","a"
"SUBURBAN HOSPITAL","210022","MD","2018","-1.1110","","07/01/2014","09/30/2015","-1.1110","","-0.0448","","-0.7499","","0.1385","","-0.7622","","0.0248","","1.1250","","01/01/2015","12/31/2016","-0.2047","","N/A","a"
"ANNE ARUNDEL MEDICAL CENTER","210023","MD","2018","-1.4667","","07/01/2014","09/30/2015","-1.4667","","0.3519","","-0.5554","","1.9844","","0.7051","","-0.6671","","0.2924","","01/01/2015","12/31/2016","0.0791","","N/A","a"
"MEDSTAR UNION MEMORIAL HOSPITAL","210024","MD","2018","-1.4121","","07/01/2014","09/30/2015","-1.4121","","0.2951","","-0.5825","","0.1719","","-0.7185","","1.8629","","0.7419","","01/01/2015","12/31/2016","0.0391","","N/A","a"
"WESTERN MARYLAND REGIONAL MEDICAL CENTER","210027","MD","2018","2.3268","","07/01/2014","09/30/2015","2.3268","","1.0382","","1.3101","","1.0790","","-0.3500","","2.2236","","0.9283","","01/01/2015","12/31/2016","1.2315","","N/A","a"
"MEDSTAR SAINT MARY'S HOSPITAL","210028","MD","2018","-1.0554","","07/01/2014","09/30/2015","-1.0554","","-0.3067","","0.4796","","0.4943","","-1.1360","","-0.6934","","-0.6781","","01/01/2015","12/31/2016","-0.4190","","N/A","a"
"JOHNS HOPKINS BAYVIEW MEDICAL CENTER","210029","MD","2018","-1.7118","23","07/01/2014","09/30/2015","-1.7118","23","0.3351","","-0.6315","","-0.7068","","0.8274","","1.9172","","0.2694","","01/01/2015","12/31/2016","0.0281","23","N/A","a"
"UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN","210030","MD","2018","-0.0222","","07/01/2014","09/30/2015","-0.0222","","1.0400","","Not Available","5","Not Available","5","0.1199","","Not Available","5","1.9601","","01/01/2015","12/31/2016","0.8807","","N/A","a"
"UNION HOSPITAL OF CECIL COUNTY","210032","MD","2018","-0.6278","","07/01/2014","09/30/2015","-0.6278","","0.9559","","2.1946","","0.4609","","-0.5246","","0.6887","","1.9601","","01/01/2015","12/31/2016","0.7184","","N/A","a"
"CARROLL HOSPITAL CENTER","210033","MD","2018","-1.0355","","07/01/2014","09/30/2015","-1.0355","","-0.5458","","-1.5110","","-0.2574","","-0.1089","","-0.9804","","0.1289","","01/01/2015","12/31/2016","-0.6192","","N/A","a"
"MEDSTAR HARBOR HOSPITAL","210034","MD","2018","0.1372","","07/01/2014","09/30/2015","0.1372","","-0.6756","","-1.0391","","-1.5254","","-0.9456","","-0.1552","","0.2873","","01/01/2015","12/31/2016","-0.5537","","N/A","a"
"UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER","210035","MD","2018","-0.3361","","07/01/2014","09/30/2015","-0.3361","","-0.2224","","-0.4049","","-0.5999","","-0.6941","","-0.7400","","1.3267","","01/01/2015","12/31/2016","-0.2395","","N/A","a"
"UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON","210037","MD","2018","-1.7101","","07/01/2014","09/30/2015","-1.7101","","0.3190","","-0.7144","","-0.9457","","2.0886","","1.3029","","-0.1367","","01/01/2015","12/31/2016","0.0146","","N/A","a"
"UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS","210038","MD","2018","-0.5039","","07/01/2014","09/30/2015","-0.5039","","0.6352","","-0.7990","","-0.8438","","Not Available","5","2.2236","","1.9601","","01/01/2015","12/31/2016","0.4644","","N/A","a"
"CALVERT MEMORIAL HOSPITAL","210039","MD","2018","-0.1993","","07/01/2014","09/30/2015","-0.1993","","-0.0808","","1.0902","","0.0165","","-1.4872","","-1.4551","","1.4315","","01/01/2015","12/31/2016","-0.0986","","N/A","a"
"NORTHWEST HOSPITAL CENTER","210040","MD","2018","-0.8259","","07/01/2014","09/30/2015","-0.8259","","0.2296","","-0.3051","","1.3229","","0.3820","","-0.3910","","0.1391","","01/01/2015","12/31/2016","0.0713","","N/A","a"
"UNIVERSITY OF MD BALTIMORE WASHINGTON MEDICAL CENTER","210043","MD","2018","1.0429","","07/01/2014","09/30/2015","1.0429","","0.3564","","-0.1106","","0.6530","","-0.1456","","0.9089","","0.4763","","01/01/2015","12/31/2016","0.4594","","N/A","a"
"GREATER BALTIMORE MEDICAL CENTER","210044","MD","2018","-0.0759","","07/01/2014","09/30/2015","-0.0759","","0.3826","","0.4238","","-0.6133","","1.3445","","0.2714","","0.4865","","01/01/2015","12/31/2016","0.3138","","N/A","a"
"MCCREADY HEALTH","210045","MD","2018","-0.1850","","07/01/2014","09/30/2015","-0.1850","","2.1044","5","Not Available","5","Not Available","5","2.1044","18","Not Available","5","Not Available","5","01/01/2015","12/31/2016","1.7610","","N/A","a"
"HOWARD COUNTY GENERAL HOSPITAL","210048","MD","2018","-0.3992","","07/01/2014","09/30/2015","-0.3992","","-0.5822","","0.0010","","-0.9841","","-1.1273","","-0.7353","","-0.0652","","01/01/2015","12/31/2016","-0.5547","","N/A","a"
"UNIVERSITY OF MD UPPER CHESAPEAKE MEDICAL CENTER","210049","MD","2018","-0.5338","","07/01/2014","09/30/2015","-0.5338","","0.8190","","0.4492","","2.1498","","1.4004","","0.2450","","-0.1495","","01/01/2015","12/31/2016","0.6161","","N/A","a"
"DOCTORS'  COMMUNITY HOSPITAL","210051","MD","2018","0.0483","","07/01/2014","09/30/2015","0.0483","","-1.3201","","-1.1930","","-1.2163","","-1.4872","","-1.1805","","-1.5235","","01/01/2015","12/31/2016","-1.1148","","N/A","a"
"LAUREL REGIONAL MEDICAL CENTER","210055","MD","2018","0.2086","","07/01/2014","09/30/2015","0.2086","","0.6091","","2.0001","","-0.1973","","Not Available","5","-0.6345","","1.2680","","01/01/2015","12/31/2016","0.5490","","N/A","a"
"MEDSTAR GOOD SAMARITAN HOSPITAL","210056","MD","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","0.2777","","0.4509","","-0.5164","","0.3296","","0.9927","","0.1315","","01/01/2015","12/31/2016","-0.0208","","N/A","a"
"ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER","210057","MD","2018","-0.7658","","07/01/2014","09/30/2015","-0.7658","","0.8675","","1.0023","","2.0245","","-0.5299","","0.6034","","1.2373","","01/01/2015","12/31/2016","0.6225","","N/A","a"
"UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE","210058","MD","2018","-0.8150","","07/01/2014","09/30/2015","-0.8150","","2.1265","18","2.1946","18","2.1498","18","2.1044","18","2.2236","18","1.9601","18","01/01/2015","12/31/2016","1.6853","","N/A","a"
"FORT WASHINGTON HOSPITAL","210060","MD","2018","0.1986","","07/01/2014","09/30/2015","0.1986","","0.5230","","-0.2104","","-0.1806","","Not Available","5","Not Available","5","1.9601","","01/01/2015","12/31/2016","0.4744","","N/A","a"
"ATLANTIC GENERAL HOSPITAL","210061","MD","2018","1.4633","","07/01/2014","09/30/2015","1.4633","","-0.2663","","-0.7009","","-0.8371","","-1.4872","","Not Available","5","1.9601","","01/01/2015","12/31/2016","-0.0068","","N/A","a"
"MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER","210062","MD","2018","-0.1202","","07/01/2014","09/30/2015","-0.1202","","0.7710","","1.6111","","1.1692","","-0.7413","","2.2236","","-0.4074","","01/01/2015","12/31/2016","0.6373","","N/A","a"
"UNIVERSITY OF MARYLAND ST JOSEPH MEDICAL CENTER","210063","MD","2018","-1.6345","","07/01/2014","09/30/2015","-1.6345","","-0.1010","","-1.3267","","0.4826","","0.7261","","-0.1583","","-0.2286","","01/01/2015","12/31/2016","-0.3310","","N/A","a"
"LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL","210064","MD","2018","-0.0169","","07/01/2014","09/30/2015","-0.0169","","2.1022","","2.1946","18","2.1498","18","2.1044","18","Not Available","5","1.9601","","01/01/2015","12/31/2016","1.7843","","N/A","a"
"HOLY CROSS GERMANTOWN HOSPITAL","210065","MD","2018","Not Available","5","07/01/2014","09/30/2015","Not Available","5","0.8059","","Not Available","5","1.7021","","2.1044","","-1.4551","","0.8721","","01/01/2015","12/31/2016","0.8059","","N/A","a"
"HEALTHALLIANCE HOSPITALS, INC","220001","MA","2018","-0.0780","","07/01/2014","09/30/2015","-0.0780","","0.1441","","-0.2781","","0.9704","","-0.1002","","-0.4375","","0.5657","","01/01/2015","12/31/2016","0.1108","","No",""
"MOUNT AUBURN HOSPITAL","220002","MA","2018","0.6481","","07/01/2014","09/30/2015","0.6481","","0.0148","","-0.6146","","0.4859","","0.3785","","-0.5523","","0.3767","","01/01/2015","12/31/2016","0.1098","","No",""
"STURDY MEMORIAL HOSPITAL","220008","MA","2018","0.4899","","07/01/2014","09/30/2015","0.4899","","0.0117","","0.5693","","-0.8271","","-0.7919","","0.5196","","0.5886","","01/01/2015","12/31/2016","0.0834","","No",""
"LAWRENCE GENERAL HOSPITAL","220010","MA","2018","-0.3622","","07/01/2014","09/30/2015","-0.3622","","0.5507","","-0.1444","","0.7850","","0.5951","","-0.0078","","1.5259","","01/01/2015","12/31/2016","0.4138","","Yes",""
"CAMBRIDGE HEALTH ALLIANCE","220011","MA","2018","0.6305","","07/01/2014","09/30/2015","0.6305","","0.1453","","0.5338","","0.4341","","0.8938","","-1.0471","","-0.0882","","01/01/2015","12/31/2016","0.2181","","No",""
"CAPE COD HEALTHCARE","220012","MA","2018","-0.9580","","07/01/2014","09/30/2015","-0.9580","","-0.1402","","0.1296","","0.3222","","-0.3535","","-0.9463","","0.1468","","01/01/2015","12/31/2016","-0.2629","","No",""
"COOLEY DICKINSON HOSPITAL INC,THE","220015","MA","2018","0.1197","","07/01/2014","09/30/2015","0.1197","","0.3342","","-0.1038","","2.1498","","-0.3028","","-1.4551","","1.3829","","01/01/2015","12/31/2016","0.3020","","No",""
"BAYSTATE FRANKLIN MEDICAL CENTER","220016","MA","2018","0.3653","","07/01/2014","09/30/2015","0.3653","","0.9050","","Not Available","5","2.1498","","0.6789","","Not Available","5","-0.1137","","01/01/2015","12/31/2016","0.8240","","Yes",""
"CARNEY HOSPITAL","220017","MA","2018","0.0381","","07/01/2014","09/30/2015","0.0381","","0.2020","","-0.9495","","-0.8421","","0.0763","","2.2236","","0.5018","","01/01/2015","12/31/2016","0.1774","","No",""
"HARRINGTON MEMORIAL HOSPITAL-1","220019","MA","2018","-0.5488","","07/01/2014","09/30/2015","-0.5488","","-0.9853","","-1.5110","","-0.4462","","-1.4872","","Not Available","5","-0.4968","","01/01/2015","12/31/2016","-0.9198","","No",""
"SAINT ANNE'S HOSPITAL","220020","MA","2018","0.7477","","07/01/2014","09/30/2015","0.7477","","-0.1731","","-1.2353","","-0.6066","","-0.8216","","0.1520","","1.6460","","01/01/2015","12/31/2016","-0.0350","","No",""
"HOLYOKE MEDICAL CENTER","220024","MA","2018","-0.0272","","07/01/2014","09/30/2015","-0.0272","","-0.5620","","-0.7262","","0.7148","","-0.8443","","-0.5430","","-1.4111","","01/01/2015","12/31/2016","-0.4818","","No",""
"ANNA JAQUES HOSPITAL","220029","MA","2018","-1.0097","","07/01/2014","09/30/2015","-1.0097","","-0.5662","","-1.5110","","-0.1455","","0.3994","","-1.4551","","-0.1188","","01/01/2015","12/31/2016","-0.6327","","No",""
"UMASS MEMORIAL HEALTHCARE WING MEMORIAL HOSPITAL","220030","MA","2018","-0.3075","","07/01/2014","09/30/2015","-0.3075","","-0.8655","","Not Available","5","-1.5254","","Not Available","5","Not Available","5","-0.2056","","01/01/2015","12/31/2016","-0.7818","","No",""
"BOSTON MEDICAL CENTER","220031","MA","2018","1.5421","","07/01/2014","09/30/2015","1.5421","","0.0254","","-0.4810","","0.6396","","0.0902","","-0.6671","","0.5452","","01/01/2015","12/31/2016","0.2529","","No",""
"NORTHEST HOSPITAL CORPORATION","220033","MA","2018","-0.0213","","07/01/2014","09/30/2015","-0.0213","","-0.0088","","-0.3170","","-0.0904","","0.6562","","-0.9121","","0.6193","","01/01/2015","12/31/2016","-0.0107","","No",""
"NORTH SHORE MEDICAL CENTER -","220035","MA","2018","-0.7704","","07/01/2014","09/30/2015","-0.7704","","-0.1551","","-0.4032","","-0.0219","","-0.2085","","-0.5848","","0.4431","","01/01/2015","12/31/2016","-0.2474","","No",""
"ST ELIZABETH'S MEDICAL CENTER","220036","MA","2018","-1.6241","","07/01/2014","09/30/2015","-1.6241","","0.2910","","-0.3220","","-0.0620","","0.3086","","0.4513","","1.0790","","01/01/2015","12/31/2016","0.0037","","No",""
"BERKSHIRE MEDICAL CENTER","220046","MA","2018","-0.5996","","07/01/2014","09/30/2015","-0.5996","","-0.2469","","-1.5110","","-0.3660","","0.2178","","0.0992","","0.3256","","01/01/2015","12/31/2016","-0.2998","","No",""
"UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL","220049","MA","2018","-0.5073","","07/01/2014","09/30/2015","-0.5073","","-0.2152","","-0.3964","","-0.6717","","Not Available","5","-0.5600","","0.7674","","01/01/2015","12/31/2016","-0.2590","","No",""
"SIGNATURE HEALTHCARE BROCKTON HOSPITAL","220052","MA","2018","1.7901","","07/01/2014","09/30/2015","1.7901","","-0.2919","","-0.8007","","-0.3944","","0.5025","","-1.0083","","0.2413","","01/01/2015","12/31/2016","0.0204","","No",""
"UMASS MEMORIAL HEALTHCARE-CLINTON HOSPITAL","220058","MA","2018","-0.0242","","07/01/2014","09/30/2015","-0.0242","","0.4916","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","0.4916","","01/01/2015","12/31/2016","0.4142","","Yes",""
"BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH","220060","MA","2018","-0.6084","","07/01/2014","09/30/2015","-0.6084","","-0.7080","","-0.9698","","-1.1261","","-1.1046","","-0.4608","","0.1213","","01/01/2015","12/31/2016","-0.6931","","No",""
"ADCARE HOSPITAL OF WORCESTER INC","220062","MA","2018","-0.1504","","07/01/2014","09/30/2015","-0.1504","","-1.7013","","Not Available","5","Not Available","5","Not Available","5","-1.4551","","-1.9475","","01/01/2015","12/31/2016","-1.4686","","No",""
"LOWELL GENERAL HOSPITAL","220063","MA","2018","1.1323","","07/01/2014","09/30/2015","1.1323","","-0.5974","","-0.0091","","-0.7452","","-1.2688","","-0.5817","","-0.3819","","01/01/2015","12/31/2016","-0.3379","","No",""
"NOBLE HOSPITAL","220065","MA","2018","0.2310","","07/01/2014","09/30/2015","0.2310","","0.4447","","Not Available","5","2.1498","","Not Available","5","Not Available","5","-1.2604","","01/01/2015","12/31/2016","0.4126","","Yes",""
"MERCY MEDICAL CTR","220066","MA","2018","0.3198","","07/01/2014","09/30/2015","0.3198","","1.5642","","2.1946","","2.1498","","1.4161","","1.5434","","0.5171","","01/01/2015","12/31/2016","1.3775","","Yes",""
"HALLMARK HEALTH SYSTEM","220070","MA","2018","0.2268","","07/01/2014","09/30/2015","0.2268","","0.2035","","-0.7516","","-0.2725","","1.5960","","-1.0192","","1.4647","","01/01/2015","12/31/2016","0.2070","","No",""
"MASSACHUSETTS GENERAL HOSPITAL","220071","MA","2018","-1.4735","","07/01/2014","09/30/2015","-1.4735","","0.1871","","0.2260","","-0.5114","","0.9654","","-0.1645","","0.4201","","01/01/2015","12/31/2016","-0.0620","","No",""
"MORTON HOSPITAL","220073","MA","2018","-1.0987","","07/01/2014","09/30/2015","-1.0987","","0.2551","","1.5282","","-0.0353","","-1.4872","","1.0718","","0.1979","","01/01/2015","12/31/2016","0.0520","","No",""
"SOUTHCOAST HOSPITALS GROUP","220074","MA","2018","-1.3435","","07/01/2014","09/30/2015","-1.3435","","-0.3453","","-0.7905","","0.0600","","-0.4670","","-0.5150","","-0.0141","","01/01/2015","12/31/2016","-0.4951","","No",""
"MASSACHUSETTS EYE AND EAR INFIRMARY","220075","MA","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","1.9601","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","1.9601","","01/01/2015","12/31/2016","1.4093","","Yes",""
"BAYSTATE MEDICAL CENTER","220077","MA","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","0.3227","","-0.3863","","1.8558","","1.7253","","-0.6733","","-0.9080","","01/01/2015","12/31/2016","0.0175","","No",""
"HOLY FAMILY HOSPITAL","220080","MA","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","-0.8084","","-1.5110","","-1.5254","","-1.4872","","-0.1939","","0.6755","","01/01/2015","12/31/2016","-0.9439","","No",""
"BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM","220083","MA","2018","-0.6643","","07/01/2014","09/30/2015","-0.6643","","-0.1759","","-1.5110","","-0.2391","","0.0815","","0.0853","","0.7036","","01/01/2015","12/31/2016","-0.2492","","No",""
"EMERSON HOSPITAL -","220084","MA","2018","0.2744","","07/01/2014","09/30/2015","0.2744","","-0.7619","","-0.6112","","-0.0971","","-1.4872","","-0.8082","","-0.8058","","01/01/2015","12/31/2016","-0.6065","","No",""
"BETH ISRAEL DEACONESS MEDICAL CENTER","220086","MA","2018","-1.4579","","07/01/2014","09/30/2015","-1.4579","","0.3914","","-0.7956","","1.6219","","0.6492","","0.0077","","0.4737","","01/01/2015","12/31/2016","0.1140","","No",""
"NEW ENGLAND BAPTIST HOSPITAL","220088","MA","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","-0.2034","","0.0010","","1.4949","","Not Available","5","-1.4551","","-0.8544","","01/01/2015","12/31/2016","-0.4296","","No",""
"MILFORD REGIONAL MEDICAL CENTER","220090","MA","2018","0.2859","","07/01/2014","09/30/2015","0.2859","","-0.3035","","-1.2032","","-0.3360","","0.5532","","-0.9261","","0.3945","","01/01/2015","12/31/2016","-0.2151","","No",""
"HEYWOOD HOSPITAL","220095","MA","2018","-0.0436","","07/01/2014","09/30/2015","-0.0436","","-0.7261","","-1.5110","","-0.4462","","-1.4872","","-0.2358","","0.0497","","01/01/2015","12/31/2016","-0.6237","","No",""
"NASHOBA VALLEY MEDICAL CENTER","220098","MA","2018","-0.4290","","07/01/2014","09/30/2015","-0.4290","","1.1199","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","1.1199","","01/01/2015","12/31/2016","0.8875","","Yes",""
"SOUTH SHORE HOSPITAL","220100","MA","2018","0.6332","","07/01/2014","09/30/2015","0.6332","","-0.1412","","-0.7482","","1.0489","","0.2073","","-0.7120","","-0.5019","","01/01/2015","12/31/2016","-0.0250","","No",""
"NEWTON-WELLESLEY HOSPITAL","220101","MA","2018","-0.7709","","07/01/2014","09/30/2015","-0.7709","","-0.6853","","-0.1647","","-0.7486","","-1.1605","","-0.5290","","-0.8237","","01/01/2015","12/31/2016","-0.6981","","No",""
"WINCHESTER HOSPITAL","220105","MA","2018","-0.7714","","07/01/2014","09/30/2015","-0.7714","","-0.5287","","-0.9952","","-0.8104","","0.9235","","-1.1138","","-0.6475","","01/01/2015","12/31/2016","-0.5651","","No",""
"BETH ISRAEL DEACONESS HOSPITAL - MILTON","220108","MA","2018","1.0316","","07/01/2014","09/30/2015","1.0316","","0.1004","","2.1946","","-1.2831","","0.1199","","-1.4551","","0.9258","","01/01/2015","12/31/2016","0.2401","","No",""
"BRIGHAM AND WOMEN'S HOSPITAL","220110","MA","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","-0.0572","","0.1262","","0.2053","","-0.0705","","-0.6965","","0.1494","","01/01/2015","12/31/2016","-0.3054","","No",""
"GOOD SAMARITAN MEDICAL CENTER","220111","MA","2018","-0.0131","","07/01/2014","09/30/2015","-0.0131","","0.7866","","1.1663","","0.9203","","-0.9666","","2.0584","","0.7546","","01/01/2015","12/31/2016","0.6666","","Yes",""
"TUFTS MEDICAL CENTER","220116","MA","2018","0.1748","","07/01/2014","09/30/2015","0.1748","","0.3780","","-0.5351","","0.4408","","1.9122","","-1.0580","","1.1301","","01/01/2015","12/31/2016","0.3475","","No",""
"FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S","220119","MA","2018","-1.1516","","07/01/2014","09/30/2015","-1.1516","","-0.0978","","-0.5537","","-0.1338","","-0.1578","","-0.2731","","0.6295","","01/01/2015","12/31/2016","-0.2559","","No",""
"NORWOOD HOSPITAL","220126","MA","2018","-1.1591","","07/01/2014","09/30/2015","-1.1591","","0.2098","","-1.0696","","1.8624","","0.2579","","-0.8687","","0.8670","","01/01/2015","12/31/2016","0.0045","","No",""
"FALMOUTH HOSPITAL","220135","MA","2018","1.5444","","07/01/2014","09/30/2015","1.5444","","-0.1971","","-0.1411","","0.3389","","-0.9072","","-0.3491","","0.0727","","01/01/2015","12/31/2016","0.0641","","No",""
"UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS","220163","MA","2018","1.5667","","07/01/2014","09/30/2015","1.5667","","-0.6555","","-0.8074","","-0.2508","","-0.3569","","-0.6733","","-1.1889","","01/01/2015","12/31/2016","-0.3221","","No",""
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","220171","MA","2018","-0.0981","","07/01/2014","09/30/2015","-0.0981","","0.0601","","-0.0903","","-0.0403","","-0.2993","","-0.6655","","1.3957","","01/01/2015","12/31/2016","0.0363","","No",""
"METROWEST MEDICAL CENTER","220175","MA","2018","-0.3704","","07/01/2014","09/30/2015","-0.3704","","0.7079","","0.4458","","2.1498","","-0.6015","","1.5697","","-0.0243","","01/01/2015","12/31/2016","0.5462","","Yes",""
"ST VINCENT HOSPITAL","220176","MA","2018","-0.2680","","07/01/2014","09/30/2015","-0.2680","","-0.4909","","-1.1068","","-0.8973","","-1.2618","","0.4141","","0.3971","","01/01/2015","12/31/2016","-0.4575","","No",""
"NANTUCKET COTTAGE HOSPITAL","220177","MA","2018","-0.0327","","07/01/2014","09/30/2015","-0.0327","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0327","","No",""
"ST MARY MERCY HOSPITAL","230002","MI","2018","-0.7476","","07/01/2014","09/30/2015","-0.7476","","1.0183","","0.8331","","0.4208","","1.7358","","0.9617","","1.1403","","01/01/2015","12/31/2016","0.7534","","Yes",""
"SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL","230003","MI","2018","-0.4203","","07/01/2014","09/30/2015","-0.4203","","-0.7803","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-0.7803","","01/01/2015","12/31/2016","-0.7263","","No",""
