Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,SUB-1_Measure_Description,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote, SUB-2/-2a_Measure_Description,SUB-2_%,SUB-2_Numerator,SUB-2_Denominator,SUB-2_Footnote ,SUB-2a_%,SUB-2a_Numerator,SUB-2a_Denominator,SUB-2a_Footnote , TOB-1_Measure_Description,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-1_Footnote,TOB-2/-2a_Measure_Desc,TOB-2_%,TOB-2_Numerator,TOB-2_Denominator,TOB-2_Footnote,TOB-2a_%,TOB-2a_Numerator,TOB-2a_Denominator,TOB-2a_Footnote,TOB-3/-3a_Measure_Description,TOB-3_%,TOB-3_Numerator,TOB-3_Denominator,TOB-3_Footnote,TOB-3a_%,TOB-3a_Numerator,TOB-3a_Denominator,TOB-3a_Footnote,PEoC_Measure_Description,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Measure_Description,EHR_Use_Response,EHR_Use_Footnote,HIE_Measure_Description,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH_Measure_Description,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_Measure_Description,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,IMM-2_Footnote,HCP_Measure_Description,HCP_%,HCP_Numerator,HCP_Denominator,HCP_Footnote,Flu_Season_Start_Date,Flu_Season_End_Date
"230230","EDWARD W SPARROW HOSPITAL","1215 E MICHIGAN AVE  ","LANSING","MI","48912","Ingham","Hours of physical-restraint use","0.27","75.8","11541","","Hours of seclusion","0.42","117.2","11541","","Patients discharged on multiple antipsychotic medications with appropriate justification","63.04%","29","46","","Alcohol Use Screening","98.56%","956","970","","Alcohol Use Brief Intervention Provided or Offered","55.26%","63","114","","55.26%","63","114","","Tobacco Use Screening","99.72%","1062","1065","","Tobacco Use Treatment (during the hospital stay)","65.58%","261","398","","60.55%","241","398","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","94.39%","538","570","","Healthcare Personnel Influenza Vaccination","86%","2067","2398","","10/01/2016","03/31/2017"
"230239","CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL","500 OSBORN BLVD ","SAULT STE MARIE","MI","49783","Chippewa","Hours of physical-restraint use","0.00","0","307","","Hours of seclusion","0.00","0","307","","Patients discharged on multiple antipsychotic medications with appropriate justification","76.47%","13","17","","Alcohol Use Screening","99.77%","425","426","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","481","481","","Tobacco Use Treatment (during the hospital stay)","53.45%","155","290","","50.69%","147","290","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","0.00%","0","287","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","89.24%","257","288","","Healthcare Personnel Influenza Vaccination","87%","40","46","","10/01/2016","03/31/2017"
"230254","CRITTENTON HOSPITAL MEDICAL CENTER","1101 W UNIVERSITY DRIVE ","ROCHESTER","MI","48307","Oakland","Hours of physical-restraint use","0.00",".18","5341","","Hours of seclusion","0.00","0","5341","","Patients discharged on multiple antipsychotic medications with appropriate justification","64.71%","11","17","","Alcohol Use Screening","96.24%","563","585","","Alcohol Use Brief Intervention Provided or Offered","69.23%","27","39","","69.23%","27","39","","Tobacco Use Screening","91.05%","631","693","","Tobacco Use Treatment (during the hospital stay)","40.80%","102","250","","39.60%","99","250","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","0.00%","0","251","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","97.28%","357","367","","Healthcare Personnel Influenza Vaccination","84%","32","38","","10/01/2016","03/31/2017"
"230259","ST JOSEPH MERCY CHELSEA","775 S MAIN STREET ","CHELSEA","MI","48118","Washtenaw","Hours of physical-restraint use","0.25","38.77","6364","","Hours of seclusion","0.10","14.53","6364","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","98.42%","499","507","","Alcohol Use Brief Intervention Provided or Offered","46.21%","61","132","","46.21%","61","132","","Tobacco Use Screening","99.47%","562","565","","Tobacco Use Treatment (during the hospital stay)","63.77%","176","276","","10.87%","30","276","","Tobacco Use Treatment Provided or Offered at Discharge","13.50%","37","274","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","96.31%","313","325","","Healthcare Personnel Influenza Vaccination","100%","66","66","","10/01/2016","03/31/2017"
"230270","BEAUMONT HOSPITAL - TAYLOR","10000 TELEGRAPH ROAD ","TAYLOR","MI","48180","Wayne","Hours of physical-restraint use","1.97","451.94","9549","","Hours of seclusion","0.00","0","9549","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","99.83%","574","575","","Alcohol Use Brief Intervention Provided or Offered","84.38%","54","64","","28.13%","18","64","","Tobacco Use Screening","99.83%","593","594","","Tobacco Use Treatment (during the hospital stay)","94.40%","320","339","","79.94%","271","339","","Tobacco Use Treatment Provided or Offered at Discharge","85.50%","283","331","","6.65%","22","331","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","97.17%","275","283","","Healthcare Personnel Influenza Vaccination","96%","54","56","","10/01/2016","03/31/2017"
"230273","DETROIT RECEIVING HOSPITAL","4201 ST ANTOINE ST  ","DETROIT","MI","48201","Wayne","Hours of physical-restraint use","2.22","354.42","6654","","Hours of seclusion","0.12","18.8","6654","","Patients discharged on multiple antipsychotic medications with appropriate justification","91.67%","11","12","","Alcohol Use Screening","99.63%","544","546","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","570","570","","Tobacco Use Treatment (during the hospital stay)","91.19%","290","318","","63.84%","203","318","","Tobacco Use Treatment Provided or Offered at Discharge","79.42%","247","311","","8.04%","25","311","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","98.94%","280","283","","Healthcare Personnel Influenza Vaccination","74%","26","35","","10/01/2016","03/31/2017"
"230275","HEALTHSOURCE SAGINAW","3340 HOSPITAL RD ","SAGINAW","MI","48603","Saginaw","Hours of physical-restraint use","0.34","203","24872","","Hours of seclusion","0.03","17.55","24872","","Patients discharged on multiple antipsychotic medications with appropriate justification","25.00%","17","68","","Alcohol Use Screening","100.00%","297","297","","Alcohol Use Brief Intervention Provided or Offered","60.98%","25","41","","58.54%","24","41","","Tobacco Use Screening","100.00%","304","304","","Tobacco Use Treatment (during the hospital stay)","66.47%","113","170","","37.06%","63","170","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","0.00%","0","142","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","76.04%","257","338","","Healthcare Personnel Influenza Vaccination","66%","358","540","","10/01/2016","03/31/2017"
"231332","BRONSON LAKEVIEW HOSPITAL","408 HAZEN STREET ","PAW PAW","MI","49079","Van Buren","Hours of physical-restraint use","0.04","2.63","2808","","Hours of seclusion","0.00","0","2808","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","0","0","7","Alcohol Use Screening","97.30%","144","148","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","Tobacco Use Screening","100.00%","150","150","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","0.00%","0","12","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","94.51%","86","91","","Healthcare Personnel Influenza Vaccination","100%","631","634","","10/01/2016","03/31/2017"
"231334","PROMEDICA HERRICK HOSPITAL","500 E POTTAWATAMIE ST ","TECUMSEH","MI","49286","Lenawee","Hours of physical-restraint use","0.14","8.81","2685","","Hours of seclusion","0.00","0","2685","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","86.28%","195","226","","Alcohol Use Brief Intervention Provided or Offered","100.00%","39","39","","100.00%","39","39","","Tobacco Use Screening","100.00%","280","280","","Tobacco Use Treatment (during the hospital stay)","91.50%","140","153","","83.01%","127","153","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","96.14%","199","207","","Healthcare Personnel Influenza Vaccination","68%","216","316","","10/01/2016","03/31/2017"
"234006","PINE REST CHRISTIAN MENTAL HEALTH SERVICES","300 - 68TH STREET SE PO BOX 165","GRAND RAPIDS","MI","49501","Kent","Hours of physical-restraint use","0.12","71.56","24217","","Hours of seclusion","0.17","98.65","24217","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","96.30%","260","270","","Alcohol Use Brief Intervention Provided or Offered","82.86%","29","35","","60.00%","21","35","","Tobacco Use Screening","100.00%","288","288","","Tobacco Use Treatment (during the hospital stay)","89.22%","91","102","","22.55%","23","102","","Tobacco Use Treatment Provided or Offered at Discharge","0.00%","0","98","","0.00%","0","98","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","76.41%","285","373","","Healthcare Personnel Influenza Vaccination","99%","1285","1296","","10/01/2016","03/31/2017"
"234011","HENRY FORD KINGSWOOD HOSPITAL","10300 W EIGHT MILE ROAD ","FERNDALE","MI","48220","Oakland","Hours of physical-restraint use","0.45","248.5","23171","","Hours of seclusion","0.40","224.72","23171","","Patients discharged on multiple antipsychotic medications with appropriate justification","51.52%","17","33","","Alcohol Use Screening","98.66%","367","372","","Alcohol Use Brief Intervention Provided or Offered","96.97%","64","66","","72.73%","48","66","","Tobacco Use Screening","99.33%","446","449","","Tobacco Use Treatment (during the hospital stay)","35.74%","89","249","","22.49%","56","249","","Tobacco Use Treatment Provided or Offered at Discharge","81.17%","194","239","","23.01%","55","239","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","96.68%","378","391","","Healthcare Personnel Influenza Vaccination","98%","715","730","","10/01/2016","03/31/2017"
"234021","HARBOR OAKS HOSPITAL","35031 23 MILE RD ","NEW BALTIMORE","MI","48047","Macomb","Hours of physical-restraint use","0.28","287.55","42642","","Hours of seclusion","0.18","187.43","42642","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","94.46%","324","343","","Alcohol Use Brief Intervention Provided or Offered","68.75%","22","32","","65.63%","21","32","","Tobacco Use Screening","90.91%","320","352","","Tobacco Use Treatment (during the hospital stay)","86.84%","99","114","","29.82%","34","114","","Tobacco Use Treatment Provided or Offered at Discharge","15.32%","17","111","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","82.14%","253","308","","Healthcare Personnel Influenza Vaccination","50%","153","309","","10/01/2016","03/31/2017"
"234023","HAVENWYCK HOSPITAL","1525 UNIVERSITY DRIVE ","AUBURN HILLS","MI","48326","Oakland","Hours of physical-restraint use","0.03","48.8","60628","","Hours of seclusion","0.09","126.8","60628","","Patients discharged on multiple antipsychotic medications with appropriate justification","98.56%","137","139","","Alcohol Use Screening","99.37%","791","796","","Alcohol Use Brief Intervention Provided or Offered","70.83%","51","72","","69.44%","50","72","","Tobacco Use Screening","98.38%","789","802","","Tobacco Use Treatment (during the hospital stay)","95.04%","441","464","","23.28%","108","464","","Tobacco Use Treatment Provided or Offered at Discharge","57.60%","254","441","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","85.20%","616","723","","Healthcare Personnel Influenza Vaccination","79%","452","572","","10/01/2016","03/31/2017"
"234025","CARO CENTER","2000 CHAMBERS ","CARO","MI","48723","Tuscola","Hours of physical-restraint use","5.29","6784.43","53470","","Hours of seclusion","0.00","0","53470","","Patients discharged on multiple antipsychotic medications with appropriate justification","74.19%","23","31","","Alcohol Use Screening","100.00%","22","22","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","22","22","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","Not Available","Not Available","Not Available","1","Healthcare Personnel Influenza Vaccination","33%","130","394","","10/01/2016","03/31/2017"
"234026","KALAMAZOO REGIONAL PSYCHIATRIC HOSPITAL","1312 OAKLAND DR ","KALAMAZOO","MI","49008","Kalamazoo","Hours of physical-restraint use","1.85","2236.18","50346","","Hours of seclusion","0.00","4.83","50346","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","96.67%","58","60","","Alcohol Use Brief Intervention Provided or Offered","0.00%","0","14","","0.00%","0","14","","Tobacco Use Screening","96.72%","59","61","","Tobacco Use Treatment (during the hospital stay)","71.43%","20","28","","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","0.00%","0","28","","0.00%","0","28","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","76.67%","23","30","","Healthcare Personnel Influenza Vaccination","61%","314","515","","10/01/2016","03/31/2017"
"234030","FOREST VIEW PSYCHIATRIC HOSPITAL","1055 MEDICAL PARK SE ","GRAND RAPIDS","MI","49546","Kent","Hours of physical-restraint use","0.08","62.66","32709","","Hours of seclusion","0.00","3.75","32709","","Patients discharged on multiple antipsychotic medications with appropriate justification","50.70%","36","71","","Alcohol Use Screening","94.38%","420","445","","Alcohol Use Brief Intervention Provided or Offered","80.80%","101","125","","67.20%","84","125","","Tobacco Use Screening","100.00%","452","452","","Tobacco Use Treatment (during the hospital stay)","80.20%","162","202","","23.27%","47","202","","Tobacco Use Treatment Provided or Offered at Discharge","42.63%","81","190","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","99.22%","380","383","","Healthcare Personnel Influenza Vaccination","82%","371","455","","10/01/2016","03/31/2017"
"234035","WALTER P REUTHER PSYCHIATRIC HOSPITAL","30901 PALMER RD ","WESTLAND","MI","48186","Wayne","Hours of physical-restraint use","3.24","4430.08","56986","","Hours of seclusion","0.08","105.87","56986","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","Not Available","Not Available","Not Available","1","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","96.55%","28","29","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","0.00%","0","11","","0.00%","0","11","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","Not Available","Not Available","Not Available","1","Healthcare Personnel Influenza Vaccination","42%","163","385","","10/01/2016","03/31/2017"
"234038","BCA STONECREST CENTER","15000 GRATIOT AVENUE ","DETROIT","MI","48205","Wayne","Hours of physical-restraint use","0.48","473.65","41279","","Hours of seclusion","0.17","166.58","41279","","Patients discharged on multiple antipsychotic medications with appropriate justification","80.12%","133","166","","Alcohol Use Screening","93.05%","509","547","","Alcohol Use Brief Intervention Provided or Offered","40.82%","20","49","","38.78%","19","49","","Tobacco Use Screening","96.57%","591","612","","Tobacco Use Treatment (during the hospital stay)","68.44%","193","282","","43.26%","122","282","","Tobacco Use Treatment Provided or Offered at Discharge","19.13%","53","277","","5.05%","14","277","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","81.79%","310","379","","Healthcare Personnel Influenza Vaccination","53%","209","398","","10/01/2016","03/31/2017"
"234040","SAMARITAN BEHAVIORAL CENTER","5555 CONNER AVENUE, SUITE 3N ","DETROIT","MI","48213","Wayne","Hours of physical-restraint use","0.84","377.67","18811","","Hours of seclusion","0.36","15.82","1811","","Patients discharged on multiple antipsychotic medications with appropriate justification","25.28%","67","265","","Alcohol Use Screening","92.90%","1373","1478","","Alcohol Use Brief Intervention Provided or Offered","75.25%","152","202","","75.25%","152","202","","Tobacco Use Screening","57.44%","849","1478","","Tobacco Use Treatment (during the hospital stay)","64.58%","237","367","","58.58%","215","367","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","0.00%","0","367","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","30.21%","219","725","","Healthcare Personnel Influenza Vaccination","96%","109","114","","10/01/2016","03/31/2017"
"234041","THE CENTER FOR FORENSIC PSYCHIATRY","8303 PLATT ROAD ","SALINE","MI","48176","Washtenaw","Hours of physical-restraint use","0.08","154.88","81970","","Hours of seclusion","0.01","25.58","81970","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","84.75%","50","59","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","96.61%","57","59","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","Not Available","Not Available","Not Available","1","Healthcare Personnel Influenza Vaccination","41%","235","580","","10/01/2016","03/31/2017"
"234042","THE BEHAVIORAL CENTER OF MICHIGAN","4050 E 12 MILE ROAD ","WARREN","MI","48092","Macomb","Hours of physical-restraint use","0.26","92.72","14770","","Hours of seclusion","0.08","29.08","14770","","Patients discharged on multiple antipsychotic medications with appropriate justification","8.00%","22","275","","Alcohol Use Screening","20.73%","280","1351","","Alcohol Use Brief Intervention Provided or Offered","13.57%","38","280","","10.71%","30","280","","Tobacco Use Screening","19.25%","260","1351","","Tobacco Use Treatment (during the hospital stay)","95.65%","132","138","","57.25%","79","138","","Tobacco Use Treatment Provided or Offered at Discharge","0.00%","0","138","","0.00%","0","138","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","62.04%","425","685","","Healthcare Personnel Influenza Vaccination","90%","150","167","","10/01/2016","03/31/2017"
"240001","NORTH MEMORIAL MEDICAL CENTER","3300 OAKDALE AVE NORTH ","ROBBINSDALE","MN","55422","Hennepin","Hours of physical-restraint use","1.08","224","8638","","Hours of seclusion","1.11","231","8638","","Patients discharged on multiple antipsychotic medications with appropriate justification","60.00%","15","25","","Alcohol Use Screening","99.34%","453","456","","Alcohol Use Brief Intervention Provided or Offered","72.55%","74","102","","58.82%","60","102","","Tobacco Use Screening","98.65%","512","519","","Tobacco Use Treatment (during the hospital stay)","74.22%","213","287","","35.89%","103","287","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","93.73%","284","303","","Healthcare Personnel Influenza Vaccination","59%","29","49","","10/01/2016","03/31/2017"
